Date,Open,High,Low,Close,Adj Close,Volume
2006-03-31,9.120000,9.340000,8.500000,8.750000,4.747247,24694300
2006-04-03,8.750000,9.100000,8.700000,9.050000,4.910010,6571500
2006-04-04,9.090000,9.450000,9.000000,9.150000,4.964264,1529200
2006-04-05,9.150000,9.290000,9.000000,9.010000,4.888309,1186100
2006-04-06,9.200000,9.420000,9.000000,9.250000,5.018518,2304200
2006-04-07,9.310000,9.330000,9.000000,9.180000,4.980540,1963900
2006-04-10,9.050000,9.170000,8.950000,9.050000,4.910010,1143100
2006-04-11,9.080000,9.100000,8.060000,8.250000,4.475975,1995200
2006-04-12,8.200000,8.490000,8.100000,8.200000,4.448849,861400
2006-04-13,8.480000,8.480000,8.100000,8.210000,4.454275,303600
2006-04-17,8.250000,8.300000,8.110000,8.150000,4.421721,178900
2006-04-18,8.260000,8.800000,8.190000,8.510000,4.617036,598300
2006-04-19,8.510000,9.000000,8.500000,9.000000,4.882884,333600
2006-04-20,8.920000,9.050000,8.790000,9.050000,4.910010,1024400
2006-04-21,9.100000,9.100000,8.260000,8.350000,4.530231,635600
2006-04-24,8.500000,8.580000,8.380000,8.460000,4.589910,1099200
2006-04-25,8.450000,8.650000,8.450000,8.500000,4.611611,196600
2006-04-26,8.480000,9.040000,8.480000,8.940000,4.850330,693900
2006-04-27,8.860000,8.990000,8.740000,8.940000,4.850330,2263500
2006-04-28,9.000000,9.000000,8.750000,8.900000,4.828629,459400
2006-05-01,8.960000,8.960000,8.750000,8.850000,4.801501,175800
2006-05-02,8.600000,8.650000,8.500000,8.600000,4.665865,497700
2006-05-03,8.650000,8.700000,8.450000,8.570000,4.649589,751700
2006-05-04,8.540000,8.830000,8.540000,8.810000,4.779800,474900
2006-05-05,8.660000,8.720000,8.500000,8.600000,4.665865,622300
2006-05-08,8.600000,8.730000,8.520000,8.650000,4.692993,277400
2006-05-09,8.850000,8.950000,8.650000,8.790000,4.768949,510400
2006-05-10,8.950000,8.980000,8.600000,8.700000,4.720119,765000
2006-05-11,8.700000,8.880000,8.500000,8.500000,4.611611,467300
2006-05-12,8.460000,8.640000,8.230000,8.270000,4.486827,596200
2006-05-15,8.400000,8.500000,8.210000,8.300000,4.503102,145100
2006-05-16,8.240000,8.450000,8.200000,8.250000,4.475975,135900
2006-05-17,8.390000,8.420000,8.140000,8.150000,4.421721,577800
2006-05-18,8.100000,8.240000,7.230000,7.460000,4.047367,1151300
2006-05-19,7.390000,7.560000,7.000000,7.480000,4.058218,988500
2006-05-22,7.270000,7.330000,6.400000,6.830000,3.705565,683500
2006-05-23,7.000000,7.160000,6.520000,6.620000,3.591631,604600
2006-05-24,6.680000,7.000000,6.550000,6.780000,3.678438,1302000
2006-05-25,6.850000,6.930000,6.600000,6.630000,3.597057,462600
2006-05-26,6.650000,6.780000,6.140000,6.300000,3.418018,831000
2006-05-30,6.370000,6.490000,6.110000,6.160000,3.342062,492100
2006-05-31,6.220000,6.390000,6.050000,6.270000,3.401742,464000
2006-06-01,6.180000,6.290000,6.130000,6.150000,3.336637,575100
2006-06-02,6.290000,6.290000,6.130000,6.200000,3.363764,162800
2006-06-05,6.400000,6.400000,5.900000,5.900000,3.201001,186100
2006-06-06,5.970000,6.030000,5.560000,5.670000,3.076216,200400
2006-06-07,5.510000,5.840000,5.320000,5.690000,3.087067,1041300
