Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,9.920000,10.190000,9.510000,10.080000,10.080000,244800
2006-01-04,10.030000,10.840000,10.030000,10.800000,10.800000,713200
2006-01-05,10.780000,11.210000,10.760000,10.900000,10.900000,320800
2006-01-06,11.130000,11.450000,10.830000,11.380000,11.380000,414000
2006-01-09,11.400000,12.170000,11.390000,11.750000,11.750000,443100
2006-01-10,11.750000,12.220000,11.550000,12.100000,12.100000,489100
2006-01-11,12.080000,12.540000,11.890000,12.530000,12.530000,571500
2006-01-12,12.360000,12.500000,11.440000,12.110000,12.110000,532400
2006-01-13,12.050000,12.380000,11.900000,12.000000,12.000000,432000
2006-01-17,11.720000,11.890000,11.260000,11.370000,11.370000,253200
2006-01-18,11.260000,11.950000,11.170000,11.870000,11.870000,677800
2006-01-19,11.980000,12.490000,11.940000,12.280000,12.280000,378500
2006-01-20,12.490000,12.500000,12.180000,12.390000,12.390000,406200
2006-01-23,12.330000,12.990000,12.250000,12.980000,12.980000,452400
2006-01-24,12.970000,13.250000,12.930000,13.130000,13.130000,295000
2006-01-25,13.130000,13.250000,13.010000,13.240000,13.240000,146200
2006-01-26,13.300000,13.520000,13.110000,13.520000,13.520000,274700
2006-01-27,13.620000,13.620000,13.240000,13.240000,13.240000,174700
2006-01-30,13.300000,13.600000,13.130000,13.560000,13.560000,328300
2006-01-31,13.590000,13.590000,13.080000,13.350000,13.350000,344200
2006-02-01,13.410000,13.700000,13.260000,13.570000,13.570000,632500
2006-02-02,13.490000,13.600000,13.300000,13.550000,13.550000,247600
2006-02-03,13.360000,13.630000,13.160000,13.360000,13.360000,80400
2006-02-06,13.310000,13.380000,12.990000,13.180000,13.180000,142100
2006-02-07,13.000000,13.040000,12.510000,12.800000,12.800000,294300
2006-02-08,12.760000,13.100000,12.700000,13.000000,13.000000,170000
2006-02-09,12.960000,13.320000,12.670000,13.250000,13.250000,522300
2006-02-10,13.220000,13.220000,12.660000,12.950000,12.950000,229200
2006-02-13,13.350000,13.820000,13.230000,13.730000,13.730000,628100
2006-02-14,13.680000,14.030000,13.640000,14.030000,14.030000,360300
2006-02-15,14.400000,14.480000,14.030000,14.050000,14.050000,242900
2006-02-16,14.250000,14.250000,13.380000,13.890000,13.890000,193700
2006-02-17,14.000000,14.000000,13.520000,13.680000,13.680000,87500
2006-02-21,13.800000,13.910000,13.510000,13.630000,13.630000,171700
2006-02-22,13.550000,13.620000,13.010000,13.140000,13.140000,419000
2006-02-23,13.190000,13.650000,13.120000,13.640000,13.640000,874200
2006-02-24,13.700000,14.050000,13.180000,13.910000,13.910000,851600
2006-02-27,13.750000,14.030000,13.450000,13.670000,13.670000,481400
2006-02-28,13.710000,13.860000,13.250000,13.380000,13.380000,367400
2006-03-01,13.330000,13.470000,12.610000,12.870000,12.870000,848200
2006-03-02,12.900000,12.970000,12.580000,12.830000,12.830000,474500
2006-03-03,12.860000,13.390000,12.830000,13.220000,13.220000,189200
2006-03-06,13.300000,13.500000,13.260000,13.380000,13.380000,152300
2006-03-07,13.350000,13.550000,12.710000,12.940000,12.940000,250800
2006-03-08,12.850000,13.000000,12.730000,12.890000,12.890000,158100
2006-03-09,12.860000,13.000000,12.570000,12.650000,12.650000,244800
2006-03-10,12.600000,12.750000,12.540000,12.590000,12.590000,198300
2006-03-13,12.590000,12.750000,12.430000,12.460000,12.460000,268500
2006-03-14,12.420000,12.780000,12.420000,12.590000,12.590000,143200
2006-03-15,12.500000,13.250000,12.500000,12.960000,12.960000,499500
2006-03-16,13.050000,13.250000,12.480000,12.590000,12.590000,852300
2006-03-17,12.500000,13.020000,12.260000,12.700000,12.700000,415100
2006-03-20,12.660000,13.200000,12.660000,13.070000,13.070000,168100
2006-03-21,12.720000,13.250000,12.620000,12.720000,12.720000,244300
2006-03-22,12.660000,12.950000,12.610000,12.790000,12.790000,732900
2006-03-23,12.740000,12.750000,12.230000,12.580000,12.580000,333300
2006-03-24,12.500000,12.580000,12.290000,12.520000,12.520000,302400
2006-03-27,12.580000,13.290000,12.580000,13.250000,13.250000,879800
2006-03-28,13.390000,13.740000,13.300000,13.570000,13.570000,724500
2006-03-29,13.550000,14.090000,13.550000,14.090000,14.090000,680100
2006-03-30,14.200000,14.490000,13.850000,14.280000,14.280000,490500
2006-03-31,14.270000,14.890000,14.270000,14.550000,14.550000,461300
2006-04-03,15.010000,15.290000,14.390000,15.130000,15.130000,1087400
2006-04-04,15.720000,15.910000,15.120000,15.150000,15.150000,1524700
2006-04-05,15.380000,15.490000,14.750000,15.250000,15.250000,1402900
2006-04-06,15.300000,16.290001,15.250000,16.120001,16.120001,1499100
2006-04-07,16.299999,16.709999,16.120001,16.600000,16.600000,627000
2006-04-10,16.600000,16.940001,16.209999,16.410000,16.410000,776300
2006-04-11,16.250000,16.549999,15.830000,15.970000,15.970000,521000
2006-04-12,15.770000,16.500000,15.300000,16.459999,16.459999,927400
2006-04-13,16.480000,16.750000,16.280001,16.400000,16.400000,284900
2006-04-17,16.400000,16.799999,16.360001,16.520000,16.520000,291100
2006-04-18,15.420000,16.799999,15.250000,16.719999,16.719999,1217100
2006-04-19,16.879999,17.520000,16.780001,17.410000,17.410000,518500
2006-04-20,17.360001,17.530001,17.160000,17.440001,17.440001,248300
2006-04-21,17.520000,17.600000,16.809999,16.840000,16.840000,287600
2006-04-24,16.950001,17.030001,16.760000,16.990000,16.990000,296200
2006-04-25,16.920000,17.200001,16.350000,16.799999,16.799999,310200
2006-04-26,16.850000,16.850000,16.250000,16.410000,16.410000,235600
2006-04-27,16.410000,16.770000,16.370001,16.570000,16.570000,728100
2006-04-28,16.850000,17.420000,16.680000,17.200001,17.200001,675300
2006-05-01,17.299999,17.680000,17.049999,17.170000,17.170000,335300
2006-05-02,17.170000,17.420000,17.170000,17.360001,17.360001,279400
2006-05-03,17.299999,18.059999,17.299999,17.900000,17.900000,434600
2006-05-04,17.900000,18.090000,17.629999,17.799999,17.799999,707100
2006-05-05,17.840000,17.840000,17.600000,17.650000,17.650000,163600
2006-05-08,17.600000,17.629999,17.440001,17.490000,17.490000,158700
2006-05-09,17.559999,17.559999,17.000000,17.059999,17.059999,254800
2006-05-10,17.030001,17.100000,16.600000,16.850000,16.850000,418800
2006-05-11,16.850000,16.889999,16.209999,16.209999,16.209999,262700
2006-05-12,16.200001,16.330000,15.620000,15.880000,15.880000,542200
2006-05-15,15.750000,16.950001,15.720000,16.799999,16.799999,547800
2006-05-16,17.129999,17.290001,16.620001,16.820000,16.820000,207400
2006-05-17,16.750000,17.010000,16.160000,16.510000,16.510000,728600
2006-05-18,16.510000,16.980000,16.510000,16.850000,16.850000,419600
2006-05-19,17.070000,17.500000,16.799999,17.379999,17.379999,353300
2006-05-22,17.320000,17.440001,16.320000,16.350000,16.350000,524600
2006-05-23,16.389999,16.650000,16.200001,16.389999,16.389999,341300
2006-05-24,16.410000,16.459999,15.200000,15.290000,15.290000,833600
2006-05-25,15.280000,16.240000,13.770000,15.900000,15.900000,1805800
2006-05-26,15.880000,16.000000,15.360000,15.600000,15.600000,581300
2006-05-30,15.540000,15.660000,15.250000,15.410000,15.410000,214400
2006-05-31,15.350000,16.080000,15.350000,15.970000,15.970000,240000
2006-06-01,16.000000,16.980000,15.630000,16.760000,16.760000,555400
2006-06-02,16.950001,17.240000,16.490000,17.049999,17.049999,486900
2006-06-05,17.090000,17.299999,16.930000,16.959999,16.959999,473100
2006-06-06,16.959999,17.200001,16.340000,16.790001,16.790001,336400
2006-06-07,16.790001,16.889999,15.900000,15.980000,15.980000,239800
2006-06-08,15.870000,15.960000,14.620000,14.870000,14.870000,1093100
2006-06-09,14.670000,15.250000,14.550000,14.890000,14.890000,673900
2006-06-12,14.790000,14.810000,14.260000,14.590000,14.590000,689600
2006-06-13,14.500000,14.520000,13.780000,14.080000,14.080000,413200
2006-06-14,14.100000,14.120000,13.700000,13.970000,13.970000,229700
2006-06-15,14.090000,14.950000,14.050000,14.910000,14.910000,173000
2006-06-16,14.960000,15.270000,14.910000,15.160000,15.160000,266500
2006-06-19,15.240000,16.660000,14.660000,14.890000,14.890000,301100
2006-06-20,14.820000,15.040000,14.370000,14.690000,14.690000,329100
2006-06-21,14.670000,14.850000,14.450000,14.610000,14.610000,187100
2006-06-22,14.600000,14.820000,14.340000,14.810000,14.810000,201900
2006-06-23,14.760000,15.810000,14.720000,15.380000,15.380000,271400
2006-06-26,15.440000,15.780000,15.140000,15.710000,15.710000,287700
2006-06-27,15.770000,15.990000,15.460000,15.690000,15.690000,421200
2006-06-28,15.750000,15.800000,14.910000,15.170000,15.170000,602300
2006-06-29,15.230000,16.680000,14.760000,16.549999,16.549999,480800
2006-06-30,16.719999,16.959999,16.320000,16.340000,16.340000,3688900
2006-07-03,16.330000,16.910000,16.250000,16.639999,16.639999,276000
2006-07-05,16.490000,16.690001,15.610000,15.630000,15.630000,375500
2006-07-06,15.610000,15.720000,15.080000,15.100000,15.100000,303100
2006-07-07,15.000000,15.000000,14.330000,14.350000,14.350000,541700
2006-07-10,14.350000,14.410000,13.950000,13.990000,13.990000,325900
2006-07-11,13.990000,13.990000,13.410000,13.810000,13.810000,616700
2006-07-12,13.850000,14.220000,13.740000,13.870000,13.870000,313000
2006-07-13,13.760000,13.850000,13.250000,13.260000,13.260000,300900
2006-07-14,13.230000,13.400000,12.830000,12.990000,12.990000,350800
2006-07-17,12.950000,13.150000,12.750000,12.900000,12.900000,303600
2006-07-18,12.930000,13.560000,12.820000,13.410000,13.410000,340800
2006-07-19,13.350000,14.210000,13.310000,14.010000,14.010000,313900
2006-07-20,14.080000,14.080000,13.310000,13.310000,13.310000,245000
2006-07-21,13.270000,13.350000,12.730000,13.200000,13.200000,326900
2006-07-24,13.230000,14.530000,13.230000,14.160000,14.160000,445600
2006-07-25,14.220000,14.340000,13.780000,14.240000,14.240000,302000
2006-07-26,14.170000,14.550000,13.680000,14.380000,14.380000,589700
2006-07-27,14.500000,14.500000,13.030000,13.230000,13.230000,2012800
2006-07-28,13.260000,13.680000,12.950000,13.670000,13.670000,611800
2006-07-31,13.710000,14.010000,13.650000,14.000000,14.000000,711500
2006-08-01,13.880000,13.880000,13.080000,13.150000,13.150000,297300
2006-08-02,13.260000,13.260000,12.830000,12.980000,12.980000,378700
2006-08-03,12.850000,13.580000,12.640000,13.580000,13.580000,592400
2006-08-04,13.610000,13.790000,13.210000,13.690000,13.690000,452500
2006-08-07,13.550000,13.870000,13.360000,13.870000,13.870000,381200
2006-08-08,13.940000,14.010000,13.610000,13.700000,13.700000,400000
2006-08-09,13.860000,14.150000,13.490000,13.530000,13.530000,337300
2006-08-10,13.440000,13.920000,13.090000,13.840000,13.840000,187900
2006-08-11,13.770000,13.810000,13.400000,13.430000,13.430000,208100
2006-08-14,13.380000,13.740000,13.290000,13.370000,13.370000,182900
2006-08-15,13.560000,13.770000,13.420000,13.730000,13.730000,259800
2006-08-16,13.860000,14.150000,13.730000,14.060000,14.060000,226300
2006-08-17,14.050000,14.420000,14.000000,14.380000,14.380000,287200
2006-08-18,14.410000,14.500000,14.000000,14.490000,14.490000,248500
2006-08-21,14.500000,15.050000,14.480000,15.000000,15.000000,391700
2006-08-22,15.040000,15.140000,14.760000,14.940000,14.940000,521600
2006-08-23,15.000000,15.160000,14.370000,14.550000,14.550000,192800
2006-08-24,14.660000,14.750000,14.280000,14.550000,14.550000,137200
2006-08-25,14.580000,14.720000,14.300000,14.510000,14.510000,90800
2006-08-28,14.540000,14.940000,14.400000,14.650000,14.650000,730200
2006-08-29,14.730000,15.150000,14.650000,15.100000,15.100000,294700
2006-08-30,15.180000,15.180000,14.850000,14.910000,14.910000,578500
2006-08-31,14.900000,14.980000,14.710000,14.820000,14.820000,392700
2006-09-01,14.870000,15.160000,14.800000,15.060000,15.060000,262600
2006-09-05,15.230000,15.540000,15.180000,15.490000,15.490000,190700
2006-09-06,15.510000,15.510000,15.100000,15.100000,15.100000,151700
2006-09-07,14.990000,15.640000,14.780000,15.280000,15.280000,174200
2006-09-08,15.330000,15.490000,15.080000,15.210000,15.210000,110700
2006-09-11,15.070000,15.240000,14.800000,14.830000,14.830000,281800
2006-09-12,14.790000,15.270000,14.790000,15.270000,15.270000,513300
2006-09-13,15.340000,15.710000,15.300000,15.400000,15.400000,275600
2006-09-14,15.410000,15.410000,15.000000,15.210000,15.210000,314600
2006-09-15,15.320000,15.390000,15.090000,15.200000,15.200000,427000
2006-09-18,15.200000,15.580000,15.030000,15.560000,15.560000,281900
2006-09-19,15.520000,15.700000,14.800000,15.430000,15.430000,409900
2006-09-20,15.500000,15.910000,15.400000,15.850000,15.850000,227100
2006-09-21,15.980000,16.469999,15.860000,16.309999,16.309999,798800
2006-09-22,16.360001,16.360001,15.840000,16.250000,16.250000,240700
2006-09-25,16.330000,16.959999,16.010000,16.799999,16.799999,451000
2006-09-26,16.820000,16.980000,16.200001,16.639999,16.639999,793900
2006-09-27,16.580000,16.910000,16.500000,16.820000,16.820000,353700
2006-09-28,16.799999,17.000000,16.030001,16.170000,16.170000,544300
2006-09-29,16.200001,16.590000,16.020000,16.100000,16.100000,473900
2006-10-02,16.280001,16.280001,15.710000,16.010000,16.010000,232700
2006-10-03,16.000000,16.360001,15.590000,16.260000,16.260000,284600
2006-10-04,16.250000,17.570000,16.250000,17.360001,17.360001,1271400
2006-10-05,17.719999,17.750000,16.910000,17.629999,17.629999,670300
2006-10-06,17.730000,17.730000,17.219999,17.370001,17.370001,252700
2006-10-09,17.410000,17.410000,17.000000,17.070000,17.070000,330200
2006-10-10,17.160000,17.490000,16.760000,17.389999,17.389999,446000
2006-10-11,17.370001,17.510000,17.000000,17.209999,17.209999,353800
2006-10-12,17.290001,18.469999,17.049999,18.330000,18.330000,1501500
2006-10-13,18.490000,18.730000,18.059999,18.530001,18.530001,581300
2006-10-16,18.590000,18.620001,18.070000,18.299999,18.299999,672800
2006-10-17,18.219999,18.219999,17.910000,18.059999,18.059999,226600
2006-10-18,18.280001,18.389999,17.840000,18.100000,18.100000,303400
2006-10-19,18.090000,18.400000,17.900000,18.260000,18.260000,344500
2006-10-20,18.340000,18.360001,18.030001,18.270000,18.270000,156600
2006-10-23,18.240000,18.400000,18.010000,18.260000,18.260000,286300
2006-10-24,18.260000,19.180000,18.250000,18.809999,18.809999,580500
2006-10-25,18.870001,18.959999,18.110001,18.549999,18.549999,287600
2006-10-26,18.690001,18.809999,18.450001,18.549999,18.549999,259600
2006-10-27,18.570000,18.799999,18.180000,18.230000,18.230000,223500
2006-10-30,18.500000,18.730000,18.049999,18.709999,18.709999,373400
2006-10-31,19.010000,19.010000,18.340000,18.639999,18.639999,456100
2006-11-01,16.990000,17.760000,14.490000,16.440001,16.440001,2294000
2006-11-02,16.330000,17.219999,16.200001,16.980000,16.980000,855500
2006-11-03,17.170000,17.379999,16.879999,17.379999,17.379999,676600
2006-11-06,17.350000,17.370001,16.889999,17.020000,17.020000,420600
2006-11-07,16.990000,17.200001,16.900000,16.940001,16.940001,481700
2006-11-08,16.820000,17.139999,16.340000,16.420000,16.420000,462800
2006-11-09,16.350000,16.420000,15.680000,16.000000,16.000000,691300
2006-11-10,15.710000,16.270000,15.710000,16.240000,16.240000,272300
2006-11-13,16.139999,16.350000,16.059999,16.129999,16.129999,241800
2006-11-14,16.090000,16.350000,16.020000,16.200001,16.200001,328600
2006-11-15,16.240000,16.730000,16.160000,16.490000,16.490000,357700
2006-11-16,16.570000,16.600000,15.990000,16.000000,16.000000,396500
2006-11-17,15.900000,16.090000,15.590000,16.000000,16.000000,253200
2006-11-20,16.000000,16.350000,16.000000,16.129999,16.129999,254200
2006-11-21,16.299999,16.400000,16.120001,16.270000,16.270000,206400
2006-11-22,16.270000,16.389999,15.990000,16.309999,16.309999,217900
2006-11-24,16.190001,16.260000,15.970000,16.129999,16.129999,92400
2006-11-27,16.100000,16.170000,15.980000,16.070000,16.070000,406100
2006-11-28,16.030001,16.290001,15.880000,16.250000,16.250000,239200
2006-11-29,16.200001,16.730000,16.200001,16.700001,16.700001,424000
2006-11-30,16.799999,18.059999,16.790001,17.980000,17.980000,1271900
2006-12-01,18.150000,18.950001,17.580000,18.129999,18.129999,836200
2006-12-04,18.139999,18.520000,17.969999,18.510000,18.510000,449700
2006-12-05,18.490000,18.780001,18.129999,18.730000,18.730000,578100
2006-12-06,18.670000,18.830000,18.450001,18.750000,18.750000,1437100
2006-12-07,18.750000,19.830000,18.480000,19.270000,19.270000,1720100
2006-12-08,19.250000,20.139999,18.950001,19.990000,19.990000,6376900
2006-12-11,19.990000,19.990000,19.500000,19.840000,19.840000,1101600
2006-12-12,19.620001,19.809999,19.030001,19.549999,19.549999,869200
2006-12-13,19.510000,19.700001,19.100000,19.230000,19.230000,985500
2006-12-14,19.180000,20.360001,19.020000,20.120001,20.120001,993700
2006-12-15,20.170000,20.389999,19.670000,19.820000,19.820000,615800
2006-12-18,19.860001,20.360001,19.020000,19.150000,19.150000,1388400
