Date,Open,High,Low,Close,Adj Close,Volume
2012-10-24,48.560001,48.619999,48.220001,48.220001,43.006504,149500
2012-10-25,48.759998,48.840000,48.410000,48.540001,43.291897,9800
2012-10-26,48.240002,48.360001,48.040001,48.189999,42.979748,618700
2012-10-31,48.610001,48.610001,48.040001,48.230000,43.015419,17500
2012-11-01,48.590000,49.000000,48.590000,49.000000,43.702164,217200
2012-11-02,49.189999,49.189999,48.560001,48.560001,43.309742,112600
2012-11-05,48.590000,48.950001,48.549999,48.930000,43.639732,45600
2012-11-06,49.169998,49.389999,48.990002,49.270000,43.942974,24700
2012-11-07,48.799999,48.900002,48.310001,48.549999,43.300819,121200
2012-11-08,48.680000,48.790001,48.049999,48.060001,42.863804,101800
2012-11-09,48.049999,48.570000,48.049999,48.259998,43.042179,28100
2012-11-12,48.389999,48.470001,48.259998,48.320000,43.095688,9400
2012-11-13,47.759998,48.040001,47.740002,47.830002,42.658669,87300
2012-11-14,47.980000,47.980000,47.230000,47.230000,42.123539,36100
2012-11-15,47.310001,47.480000,47.230000,47.400002,42.275154,53400
2012-11-16,47.400002,47.509998,47.000000,47.509998,42.373268,92500
2012-11-19,47.939999,48.230000,47.939999,48.230000,43.015419,7000
2012-11-20,47.930000,48.110001,47.849998,48.099998,42.899475,24900
2012-11-21,47.889999,48.029999,47.799999,47.990002,42.801376,11000
2012-11-23,48.650002,48.779999,48.540001,48.779999,43.505951,81700
2012-11-26,48.720001,48.750000,48.560001,48.750000,43.479202,84800
2012-11-27,48.650002,48.759998,48.389999,48.389999,43.158123,21500
2012-11-28,48.200001,48.730000,48.000000,48.709999,43.443527,119200
2012-11-29,48.990002,49.130001,48.860001,49.080002,43.773525,72700
2012-11-30,49.060001,49.099998,49.000000,49.000000,43.702164,7000
2012-12-03,49.290001,49.290001,49.049999,49.070000,43.764603,26900
2012-12-04,49.299999,49.389999,49.180000,49.209999,43.889465,40500
2012-12-05,49.669998,49.889999,49.549999,49.669998,44.299728,25000
2012-12-06,49.849998,49.980000,49.730000,49.959999,44.558372,17500
2012-12-07,50.270000,50.270000,49.919998,50.160000,44.736748,52700
2012-12-10,50.110001,50.459999,50.110001,50.450001,44.995392,12100
2012-12-11,50.439999,50.669998,50.430000,50.599998,45.129181,20300
2012-12-12,50.770000,51.060001,50.630001,50.709999,45.227287,133200
2012-12-13,50.709999,50.830002,50.419998,50.549999,45.084583,99000
2012-12-14,50.720001,50.849998,50.610001,50.770000,45.280796,64600
2012-12-17,50.779999,50.910000,50.720001,50.820000,45.325397,55300
2012-12-18,50.740002,51.230000,50.540001,51.189999,45.756233,44500
2012-12-19,51.340000,51.430000,51.130001,51.189999,45.756233,703200
2012-12-20,51.270000,51.459999,51.029999,51.450001,45.988636,352900
2012-12-21,50.740002,50.889999,50.560001,50.680000,45.300369,219800
2012-12-24,50.880001,50.880001,50.570000,50.660000,45.282486,32100
2012-12-26,51.160000,51.209999,51.009998,51.049999,45.631088,236000
2012-12-27,51.049999,51.369999,50.910000,51.299999,45.861736,81300
2012-12-28,51.680000,51.680000,51.250000,51.400002,45.951138,157100
2012-12-31,51.680000,52.320000,51.529999,52.200001,46.666332,106900
2013-01-02,52.910000,53.259998,52.869999,53.259998,47.613968,91800
2013-01-03,52.849998,53.270000,52.790001,52.919998,47.310009,311900
2013-01-04,52.770000,52.990002,52.599998,52.950001,47.336826,48700
2013-01-07,52.720001,52.720001,52.490002,52.650002,47.068630,413200
2013-01-08,52.389999,52.439999,52.070000,52.279999,46.737850,150100
2013-01-09,52.570000,52.570000,52.380001,52.540001,46.970287,201200
2013-01-10,52.950001,53.500000,52.590000,52.919998,47.310009,263700
2013-01-11,52.599998,52.599998,52.360001,52.490002,46.925594,117000
2013-01-14,52.860001,52.860001,52.480000,52.700001,47.113331,968100
2013-01-15,52.500000,52.500000,52.290001,52.410000,46.854073,210300
2013-01-16,52.220001,52.450001,52.060001,52.400002,46.845131,303700
2013-01-17,52.650002,52.880001,52.540001,52.759998,47.166969,110500
2013-01-18,52.750000,52.840000,52.570000,52.770000,47.175911,372700
2013-01-22,52.750000,52.750000,52.529999,52.700001,47.113331,131600
2013-01-23,52.639999,52.639999,52.310001,52.430000,46.871952,247400
2013-01-24,52.470001,52.610001,52.209999,52.279999,46.737850,309800
2013-01-25,52.200001,52.200001,51.880001,52.130001,46.603752,217600
2013-01-28,52.040001,52.040001,51.619999,51.720001,46.237225,241000
2013-01-29,51.939999,52.400002,51.939999,52.320000,46.773609,208800
2013-01-30,52.220001,52.230000,52.029999,52.029999,46.514351,124100
2013-01-31,52.169998,52.169998,51.970001,52.080002,46.559063,293500
2013-02-01,52.430000,52.580002,52.230000,52.450001,46.889832,251000
2013-02-04,52.169998,52.240002,51.650002,51.779999,46.290855,173100
2013-02-05,52.150002,52.169998,51.919998,52.029999,46.514351,205300
2013-02-06,51.759998,51.939999,51.599998,51.930000,46.424953,114400
2013-02-07,51.910000,51.910000,51.340000,51.540001,46.076298,136600
2013-02-08,51.770000,51.930000,51.720001,51.930000,46.424953,327400
2013-02-11,51.810001,51.880001,51.619999,51.830002,46.335560,79200
2013-02-12,51.889999,52.080002,51.650002,51.900002,46.398129,159500
2013-02-13,52.320000,52.320000,52.049999,52.169998,46.639511,138100
2013-02-14,52.049999,52.209999,51.970001,52.200001,46.666332,125100
2013-02-15,52.299999,52.299999,51.959999,52.049999,46.532230,261100
2013-02-19,52.139999,52.250000,52.020000,52.020000,46.505413,172600
2013-02-20,52.250000,52.310001,51.610001,51.639999,46.165703,335900
2013-02-21,51.419998,51.480000,50.919998,51.150002,45.727646,651300
2013-02-22,51.270000,51.490002,51.220001,51.430000,45.977962,756700
2013-02-25,51.750000,51.799999,50.689999,50.689999,45.316402,694800
2013-02-26,51.070000,51.119999,50.730000,51.070000,45.656120,821000
2013-02-27,51.099998,51.619999,51.080002,51.549999,46.085236,153800
2013-02-28,51.540001,51.669998,51.279999,51.279999,45.843857,602900
2013-03-01,51.389999,51.500000,51.040001,51.410000,45.960079,402400
2013-03-04,51.119999,51.119999,50.770000,51.060001,45.647179,1063900
2013-03-05,51.580002,51.750000,51.500000,51.560001,46.094177,527600
2013-03-06,51.880001,51.880001,51.619999,51.790001,46.299797,93300
2013-03-07,51.889999,51.990002,51.720001,51.930000,46.424953,1010300
2013-03-08,52.270000,52.389999,52.000000,52.320000,46.773609,416600
2013-03-11,52.130001,52.139999,51.930000,52.080002,46.559063,483700
2013-03-12,51.869999,51.910000,51.450001,51.549999,46.085236,792100
2013-03-13,51.509998,51.509998,51.119999,51.139999,45.718704,241200
2013-03-14,51.410000,51.470001,51.200001,51.369999,45.924316,452200
2013-03-15,51.139999,51.139999,50.900002,50.930000,45.530968,368800
2013-03-18,50.490002,50.619999,50.299999,50.360001,45.021389,411900
2013-03-19,50.290001,50.419998,49.709999,49.970001,44.672733,302600
2013-03-20,50.450001,50.450001,50.250000,50.330002,44.994568,776100
2013-03-21,50.110001,50.150002,49.770000,49.810001,44.529694,739900
2013-03-22,50.009998,50.020000,49.820000,49.970001,44.672733,356500
2013-03-25,50.250000,50.340000,49.770000,49.910000,44.619091,1073900
2013-03-26,50.349998,50.580002,50.349998,50.570000,45.209122,214100
2013-03-27,50.150002,50.689999,50.150002,50.669998,45.298527,260000
2013-03-28,50.630001,50.790001,50.480000,50.759998,45.378986,205300
2013-04-01,50.790001,50.790001,50.250000,50.290001,44.958809,360900
2013-04-02,50.509998,50.549999,50.279999,50.330002,44.994568,128800
2013-04-03,50.330002,50.330002,49.660000,49.790001,44.511814,499900
2013-04-04,49.750000,49.860001,49.380001,49.660000,44.395599,122700
2013-04-05,48.959999,49.630001,48.770000,49.540001,44.288315,271000
2013-04-08,49.220001,49.590000,49.169998,49.560001,44.306194,289600
2013-04-09,49.709999,50.240002,49.529999,50.000000,44.699551,249900
2013-04-10,50.400002,50.689999,50.310001,50.490002,45.137608,388800
2013-04-11,50.560001,50.630001,50.360001,50.490002,45.137608,281200
2013-04-12,50.110001,50.110001,49.540001,49.889999,44.601212,413200
2013-04-15,49.560001,49.560001,48.619999,48.619999,43.465843,387900
2013-04-16,49.720001,49.770000,49.389999,49.709999,44.440296,282600
2013-04-17,49.349998,49.349998,48.700001,48.959999,43.769798,318700
2013-04-18,49.360001,49.360001,48.820000,49.000000,43.805565,231600
2013-04-19,49.660000,49.770000,49.540001,49.709999,44.440296,169800
2013-04-22,49.869999,49.950001,49.570000,49.939999,44.645912,978800
2013-04-23,49.889999,50.240002,49.849998,50.160000,44.842594,814500
2013-04-24,50.150002,50.520000,50.150002,50.340000,45.003510,429800
2013-04-25,50.700001,50.919998,50.560001,50.709999,45.334286,275900
2013-04-26,50.619999,50.619999,50.200001,50.349998,45.012447,328100
2013-04-29,50.750000,51.000000,50.599998,50.849998,45.459442,777400
2013-04-30,50.970001,51.560001,50.830002,51.470001,46.013718,495300
2013-05-01,51.549999,51.549999,50.849998,50.950001,45.548847,239900
2013-05-02,51.150002,51.419998,51.119999,51.360001,45.915379,969900
2013-05-03,51.709999,52.029999,51.689999,51.790001,46.299797,793900
2013-05-06,51.820000,51.849998,51.650002,51.799999,46.308735,159300
2013-05-07,52.099998,52.259998,51.900002,52.200001,46.666332,982700
2013-05-08,52.389999,52.619999,52.389999,52.549999,46.979229,430100
2013-05-09,52.560001,52.560001,52.000000,52.139999,46.612690,402100
2013-05-10,51.860001,51.919998,51.549999,51.770000,46.281910,245800
2013-05-13,51.590000,51.590000,51.369999,51.430000,45.977962,1009700
2013-05-14,51.570000,51.799999,51.509998,51.639999,46.165703,109200
2013-05-15,51.560001,51.709999,51.439999,51.680000,46.201458,176400
2013-05-16,51.680000,51.849998,51.480000,51.509998,46.049480,195400
2013-05-17,51.669998,51.750000,51.520000,51.669998,46.192513,801200
2013-05-20,51.669998,51.840000,51.639999,51.830002,46.335560,85600
2013-05-21,51.770000,52.000000,51.490002,51.849998,46.353432,1682900
2013-05-22,51.930000,52.279999,51.110001,51.270000,45.834923,391300
2013-05-23,50.580002,50.939999,50.279999,50.869999,45.477322,318400
2013-05-24,50.619999,50.619999,50.240002,50.540001,45.182312,328900
2013-05-28,51.250000,51.250000,50.740002,50.750000,45.370045,418400
2013-05-29,50.590000,50.619999,50.230000,50.299999,44.967747,888300
2013-05-30,50.220001,50.509998,50.130001,50.200001,44.878357,181100
2013-05-31,49.900002,49.900002,49.220001,49.220001,44.002239,527800
2013-06-03,49.459999,49.970001,49.150002,49.919998,44.628036,436700
2013-06-04,49.880001,49.910000,49.200001,49.389999,44.154217,2280100
2013-06-05,49.320000,49.320000,48.549999,48.570000,43.421143,607300
2013-06-06,48.500000,48.930000,48.299999,48.930000,43.742985,651100
2013-06-07,48.650002,48.900002,48.340000,48.590000,43.439030,543300
2013-06-10,48.320000,48.320000,47.880001,47.980000,42.893684,445400
2013-06-11,47.110001,47.439999,46.900002,47.150002,42.151672,393400
2013-06-12,47.540001,47.540001,46.709999,46.849998,41.883480,313100
2013-06-13,46.799999,47.650002,46.700001,47.619999,42.571854,430400
2013-06-14,47.520000,47.560001,46.799999,46.889999,41.919239,581200
2013-06-17,47.450001,47.610001,47.099998,47.320000,42.303654,481400
2013-06-18,47.240002,47.509998,47.139999,47.410000,42.384117,471600
2013-06-19,47.150002,47.290001,46.090000,46.099998,41.212990,722300
2013-06-20,45.209999,45.209999,43.680000,44.090000,39.416065,1386000
2013-06-21,44.779999,44.900002,44.000000,44.730000,39.988216,566500
2013-06-24,43.830002,44.160000,43.209999,43.939999,39.281971,3012800
2013-06-25,44.549999,44.669998,44.020000,44.630001,39.898823,1573400
2013-06-26,44.820000,45.410000,44.820000,45.310001,40.506737,1248400
2013-06-27,45.380001,45.740002,45.369999,45.639999,41.180084,556300
2013-06-28,45.490002,46.090000,45.340000,46.060001,41.559040,1007800
2013-07-01,46.299999,46.400002,45.990002,46.080002,41.577087,615100
2013-07-02,46.040001,46.270000,45.150002,45.419998,40.981579,431600
2013-07-03,44.980000,45.340000,44.799999,45.110001,40.701870,263800
2013-07-05,45.139999,45.360001,44.389999,44.750000,40.377048,433200
2013-07-08,44.750000,45.090000,44.689999,44.740002,40.368034,529400
2013-07-09,45.250000,45.330002,44.970001,45.240002,40.819172,342300
2013-07-10,45.060001,45.290001,44.869999,44.919998,40.530441,2403700
2013-07-11,46.410000,46.900002,46.240002,46.869999,42.289886,955800
2013-07-12,46.500000,46.529999,46.290001,46.410000,41.874836,492800
2013-07-15,46.759998,47.160000,46.759998,47.020000,42.425236,506500
2013-07-16,47.060001,47.150002,46.790001,47.130001,42.524483,424900
2013-07-17,47.540001,47.540001,47.360001,47.470001,42.831257,449200
2013-07-18,47.240002,47.360001,47.000000,47.080002,42.479366,202600
2013-07-19,46.980000,46.980000,46.770000,46.919998,42.334999,287600
2013-07-22,47.000000,47.410000,46.889999,47.279999,42.659821,674600
2013-07-23,47.799999,47.939999,47.639999,47.779999,43.110958,316900
2013-07-24,47.820000,47.820000,47.099998,47.259998,42.641769,410100
2013-07-25,47.290001,47.619999,47.200001,47.599998,42.948551,319000
2013-07-26,47.389999,47.570000,47.060001,47.529999,42.885387,1302900
2013-07-29,47.119999,47.139999,46.900002,46.959999,42.371090,349100
2013-07-30,47.150002,47.150002,46.750000,46.830002,42.253799,1029500
2013-07-31,46.540001,46.990002,46.279999,46.540001,41.992134,550300
2013-08-01,47.009998,47.400002,46.939999,47.279999,42.659821,249300
2013-08-02,47.150002,47.540001,47.130001,47.360001,42.732006,360700
2013-08-05,47.189999,47.209999,46.900002,47.070000,42.470345,300800
2013-08-06,46.869999,46.869999,46.410000,46.549999,42.001160,298400
2013-08-07,46.189999,46.279999,46.020000,46.060001,41.559040,502900
2013-08-08,46.700001,47.020000,46.290001,46.889999,42.307938,392900
2013-08-09,46.959999,47.209999,46.880001,47.020000,42.425236,231100
2013-08-12,47.250000,47.509998,47.139999,47.330002,42.704941,295500
2013-08-13,47.509998,47.750000,47.389999,47.590000,42.939526,551700
2013-08-14,47.830002,47.830002,47.680000,47.730000,43.065845,375700
2013-08-15,47.200001,47.320000,46.779999,47.160000,42.551552,418900
2013-08-16,47.290001,47.349998,46.790001,46.869999,42.289886,674100
2013-08-19,46.610001,46.630001,46.000000,46.000000,41.504902,218100
2013-08-20,45.959999,46.209999,45.810001,45.990002,41.495876,259200
2013-08-21,45.480000,45.549999,44.799999,44.910000,40.521416,579600
2013-08-22,45.299999,45.630001,45.299999,45.570000,41.116924,229800
2013-08-23,45.959999,46.139999,45.680000,46.060001,41.559040,356200
2013-08-26,46.220001,46.220001,45.610001,45.639999,41.180084,249500
2013-08-27,44.939999,44.950001,44.540001,44.590000,40.232685,478500
2013-08-28,44.619999,45.080002,44.430000,44.680000,40.313889,382000
2013-08-29,45.240002,45.520000,45.020000,45.049999,40.647736,405500
2013-08-30,45.520000,45.540001,45.130001,45.380001,40.945488,604900
2013-09-03,46.130001,46.180000,45.619999,45.759998,41.288353,603500
2013-09-04,46.099998,46.480000,45.950001,46.439999,41.901909,314300
2013-09-05,46.459999,46.990002,46.439999,46.860001,42.280865,481800
2013-09-06,47.380001,47.660000,47.000000,47.509998,42.867348,385500
2013-09-09,47.869999,48.720001,47.860001,48.650002,43.895950,989300
2013-09-10,48.950001,49.139999,48.810001,49.110001,44.310997,2347500
2013-09-11,48.939999,49.150002,48.740002,49.070000,44.274902,943800
2013-09-12,48.869999,48.919998,48.540001,48.570000,43.823765,380500
2013-09-13,48.599998,48.910000,48.560001,48.840000,44.067383,795200
