Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,5.150000,5.240000,5.050000,5.210000,5.210000,161700
2006-01-04,5.240000,5.350000,5.100000,5.310000,5.310000,356400
2006-01-05,5.270000,5.280000,5.200000,5.250000,5.250000,144400
2006-01-06,5.250000,5.290000,5.140000,5.230000,5.230000,346800
2006-01-09,5.220000,5.270000,5.110000,5.160000,5.160000,244300
2006-01-10,5.100000,5.210000,5.050000,5.150000,5.150000,295000
2006-01-11,5.130000,5.170000,5.050000,5.100000,5.100000,308800
2006-01-12,5.080000,5.240000,5.000000,5.030000,5.030000,422200
2006-01-13,5.100000,5.100000,4.880000,4.960000,4.960000,388300
2006-01-17,4.920000,4.920000,4.550000,4.600000,4.600000,522600
2006-01-18,4.650000,4.880000,4.650000,4.870000,4.870000,390000
2006-01-19,4.880000,5.060000,4.800000,5.020000,5.020000,225800
2006-01-20,4.910000,5.110000,4.910000,5.020000,5.020000,320800
2006-01-23,5.000000,5.130000,4.990000,5.030000,5.030000,383500
2006-01-24,5.090000,5.100000,4.990000,5.020000,5.020000,238700
2006-01-25,5.050000,5.200000,5.010000,5.020000,5.020000,416700
2006-01-26,5.000000,5.130000,4.170000,4.200000,4.200000,1590000
2006-01-27,4.230000,4.270000,3.970000,4.180000,4.180000,1121500
2006-01-30,4.180000,4.180000,3.970000,3.990000,3.990000,657900
2006-01-31,3.990000,4.010000,3.960000,4.010000,4.010000,515300
2006-02-01,4.750000,4.750000,4.280000,4.450000,4.450000,1141700
2006-02-02,4.480000,4.700000,4.470000,4.660000,4.660000,420100
2006-02-03,4.640000,4.640000,4.230000,4.380000,4.380000,311400
2006-02-06,4.380000,4.480000,4.180000,4.400000,4.400000,247400
2006-02-07,4.370000,4.480000,4.330000,4.450000,4.450000,234900
2006-02-08,4.450000,4.690000,4.350000,4.550000,4.550000,356300
2006-02-09,4.530000,4.650000,4.430000,4.460000,4.460000,211800
2006-02-10,4.470000,4.560000,4.350000,4.540000,4.540000,143300
2006-02-13,4.610000,4.620000,4.350000,4.370000,4.370000,194800
2006-02-14,4.340000,4.550000,4.300000,4.460000,4.460000,188200
2006-02-15,4.500000,4.520000,4.380000,4.410000,4.410000,139200
2006-02-16,4.480000,4.600000,4.430000,4.530000,4.530000,229400
2006-02-17,4.580000,4.630000,4.500000,4.520000,4.520000,190100
2006-02-21,4.500000,4.530000,4.410000,4.500000,4.500000,213000
2006-02-22,4.490000,4.600000,4.470000,4.510000,4.510000,169500
2006-02-23,4.480000,4.560000,4.430000,4.520000,4.520000,219500
2006-02-24,4.490000,4.720000,4.450000,4.700000,4.700000,176300
2006-02-27,4.680000,4.810000,4.620000,4.770000,4.770000,192600
2006-02-28,4.790000,4.800000,4.540000,4.570000,4.570000,159500
2006-03-01,4.560000,4.620000,4.460000,4.560000,4.560000,169100
2006-03-02,4.510000,4.580000,4.500000,4.550000,4.550000,87400
2006-03-03,4.540000,4.610000,4.490000,4.510000,4.510000,196700
2006-03-06,4.500000,4.650000,4.480000,4.490000,4.490000,245900
2006-03-07,4.480000,4.510000,4.390000,4.480000,4.480000,94800
2006-03-08,4.450000,4.500000,4.410000,4.450000,4.450000,125100
2006-03-09,4.450000,4.490000,4.410000,4.450000,4.450000,169300
2006-03-10,4.480000,4.530000,4.430000,4.530000,4.530000,124800
2006-03-13,4.500000,4.580000,4.470000,4.490000,4.490000,208800
2006-03-14,4.480000,4.570000,4.480000,4.550000,4.550000,127500
2006-03-15,4.550000,4.580000,4.470000,4.510000,4.510000,221200
2006-03-16,4.520000,4.540000,4.500000,4.520000,4.520000,119600
