Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,7.483096,7.576259,7.353869,7.528174,4.800280,4450000
2006-01-04,7.633358,7.936890,7.615327,7.849737,5.005322,4945200
2006-01-05,7.951916,7.951916,7.807663,7.858753,5.011073,2694400
2006-01-06,7.918858,8.168295,7.900826,8.114200,5.173955,3302700
2006-01-09,8.060105,8.195342,8.045079,8.186326,5.219947,3278400
2006-01-10,8.024042,8.120211,7.903831,8.120211,5.177786,2971300
2006-01-11,8.129226,8.210368,8.033058,8.171300,5.210364,2762600
2006-01-12,8.378663,8.381668,8.129226,8.189331,5.221859,3753400
2006-01-13,8.754320,8.754320,8.117205,8.201352,5.229528,2410600
2006-01-17,8.204358,8.213373,7.936890,8.129226,5.183540,5316500
2006-01-18,7.828700,8.015026,7.804658,7.966942,5.080059,4216800
2006-01-19,8.003005,8.414725,8.003005,8.294516,5.288932,5726100
2006-01-20,8.429752,8.489858,8.309542,8.315552,5.302344,4379700
2006-01-23,8.330579,8.447783,8.258452,8.384673,5.346420,2447600
2006-01-24,8.504884,8.691210,8.501879,8.664163,5.524638,3565900
2006-01-25,8.715252,8.859504,8.670173,8.673178,5.530383,1983900
2006-01-26,8.673178,9.012773,8.664163,9.009768,5.745010,4797700
2006-01-27,9.030804,9.220136,8.751315,8.790383,5.605118,3650300
2006-01-30,8.793388,8.925620,8.763336,8.820436,5.624284,3830800
2006-01-31,8.874531,9.196094,8.799399,9.151014,5.835071,3737300
2006-02-01,9.117956,9.301277,9.099925,9.256198,5.903886,3763300
2006-02-02,9.361382,9.367393,8.850489,8.976709,5.725617,2897700
2006-02-03,8.745304,9.018783,8.646131,8.757325,5.585687,4419100
2006-02-06,9.000751,9.099925,8.910594,9.015778,5.750539,2929500
2006-02-07,9.054846,9.096920,8.703231,8.778362,5.599109,3036200
2006-02-08,8.790383,9.045830,8.787378,8.946656,5.706450,3111100
2006-02-09,9.000751,9.286251,8.943651,9.138993,5.829126,2700500
2006-02-10,9.607814,9.637866,9.301277,9.490608,6.053398,3793900
2006-02-13,9.415477,9.679940,9.361382,9.424493,6.011227,3506300
2006-02-14,9.418483,9.670924,9.286251,9.490608,6.053398,1995900
2006-02-15,9.511645,9.728024,9.415477,9.625845,6.139657,1937200
2006-02-16,9.833208,10.244928,9.785124,10.229902,6.524941,4767800
2006-02-17,10.247934,10.365139,9.998497,10.124719,6.457856,6780200
2006-02-21,10.157776,10.187829,9.854245,9.884297,6.304502,4278300
2006-02-22,9.902329,10.052592,9.818182,9.848234,6.281505,5736600
2006-02-23,9.902329,9.908340,9.619835,9.706987,6.191412,4002900
2006-02-24,9.797145,9.833208,9.655898,9.712997,6.195247,2897700
2006-02-27,9.788129,10.091660,9.788129,9.893313,6.310257,2225600
2006-02-28,9.827198,9.893313,9.532682,9.821187,6.264253,3711400
2006-03-01,10.007513,10.103682,9.854245,10.052592,6.413819,4866700
2006-03-02,10.133734,10.136740,9.902329,10.022539,6.394642,2112200
2006-03-03,9.914351,10.004508,9.752066,9.977461,6.365880,3169600
2006-03-06,9.827198,9.902329,9.460556,9.574756,6.180615,3623700
2006-03-07,9.241172,9.316303,8.835462,9.256198,5.974985,6722300
2006-03-08,9.051841,9.105935,8.802404,9.051841,5.843064,3914400
2006-03-09,9.105935,9.340345,8.742299,8.841473,5.707271,5486500
2006-03-10,8.850489,9.328324,8.838468,9.145003,5.903203,4771500
2006-03-13,9.226146,9.538692,9.178061,9.406462,6.071976,4862600
2006-03-14,9.370399,9.752066,9.370399,9.719008,6.273730,3739000
2006-03-15,9.770098,9.911345,9.694966,9.866266,6.368787,2829200
2006-03-16,9.917356,10.007513,9.818182,9.854245,6.361028,2333400
2006-03-17,9.833208,9.965440,9.725019,9.797145,6.324169,1685800
2006-03-20,9.887302,9.893313,9.691961,9.725019,6.277613,1746800
2006-03-21,9.676934,9.791135,9.400451,9.448535,6.099136,3792200
2006-03-22,9.460556,9.821187,9.457551,9.779114,6.312529,4632400
2006-03-23,9.737040,9.842224,9.484598,9.577761,6.182557,2888800
2006-03-24,9.652892,9.740046,9.598798,9.703982,6.264033,2133500
2006-03-27,9.316303,9.511645,9.262209,9.376409,6.052579,3703000
2006-03-28,8.958677,9.214125,8.883546,8.901578,5.746069,7000500
2006-03-29,8.922615,9.039820,8.886552,8.955672,5.780989,3511700
2006-03-30,9.108941,9.184072,8.877536,9.033809,5.831429,3054100
2006-03-31,9.048836,9.126972,8.919609,8.946656,5.775168,1662300
2006-04-03,9.006762,9.418483,9.006762,9.400451,6.070344,3672100
2006-04-04,9.436514,9.580767,9.400451,9.511645,6.142151,2596000
2006-04-05,9.601803,9.673929,9.508640,9.625845,6.215891,2811000
2006-04-06,9.685950,9.827198,9.502629,9.646882,6.229475,2564100
2006-04-07,9.556725,9.604809,9.325319,9.448535,6.101394,2436500
2006-04-10,9.406462,9.406462,9.021789,9.157024,5.913154,2490800
2006-04-11,9.187078,9.235162,8.898573,9.015778,5.821944,3408600
2006-04-12,9.045830,9.063862,8.913599,8.973704,5.794774,1501900
2006-04-13,8.835462,8.874531,8.760330,8.868520,5.726848,2470400
2006-04-17,8.928625,9.045830,8.895567,8.949662,5.779244,2307400
2006-04-18,8.970698,9.277235,8.964688,9.211120,5.948087,3809800
2006-04-19,9.316303,9.436514,9.286251,9.331330,6.025708,3089700
2006-04-20,9.436514,9.607814,9.358377,9.421488,6.083928,4021400
2006-04-21,9.511645,9.634861,9.400451,9.460556,6.109158,1801600
2006-04-24,9.313298,9.325319,9.220136,9.262209,5.981077,2395200
2006-04-25,9.310293,9.445530,9.135988,9.208115,5.946143,2409600
2006-04-26,9.193088,9.466566,9.181067,9.448535,6.101394,2969600
2006-04-27,9.301277,9.517656,9.196094,9.340345,6.031533,2650500
2006-04-28,9.412472,9.652892,9.400451,9.556725,6.171257,1975300
2006-05-01,9.586777,9.758077,9.586777,9.622840,6.213956,1411000
2006-05-02,9.619835,10.166792,9.553719,10.049587,6.491754,5039700
2006-05-03,10.067618,10.112698,9.956424,10.058602,6.497578,3424000
2006-05-04,10.109692,10.268970,10.073628,10.178813,6.575233,3278700
2006-05-05,10.247934,10.512397,10.223892,10.473329,6.765481,7339300
2006-05-08,10.653644,10.909091,10.608565,10.749812,6.944083,8966800
2006-05-09,10.818933,10.894065,10.731781,10.845981,7.006207,6089400
2006-05-10,10.587528,10.713749,10.401202,10.512397,6.790716,4474200
2006-05-11,10.446281,10.464313,9.986476,10.022539,6.474283,5109600
2006-05-12,9.541698,9.956424,9.484598,9.749061,6.297626,5826500
2006-05-15,9.409467,9.646882,9.214125,9.382420,6.060784,5600300
2006-05-16,9.658903,9.917356,9.364388,9.553719,6.171438,7949200
2006-05-17,9.256198,9.361382,8.964688,9.081893,5.866654,7544000
2006-05-18,9.238167,9.259204,8.865515,9.000751,5.814236,6853500
2006-05-19,9.075883,9.135988,8.652142,8.781367,5.672521,9871500
2006-05-22,8.078136,8.336589,7.813674,8.108190,5.237669,13879100
2006-05-23,8.243426,8.519910,7.918858,7.993989,5.163896,7825100
2006-05-24,7.873779,7.873779,7.173554,7.471075,4.826108,13543000
2006-05-25,7.768595,8.327573,7.747558,8.222389,5.311436,9945700
2006-05-26,8.643126,8.706236,8.405710,8.637115,5.579338,8934200
2006-05-30,8.369647,8.372652,7.927874,8.114200,5.241549,6562600
2006-05-31,8.267468,8.414725,7.897821,8.006010,5.171661,7784400
2006-06-01,8.039068,8.607062,8.039068,8.607062,5.559923,7572600
2006-06-02,8.781367,8.802404,8.312547,8.558978,5.528867,4628400
2006-06-05,8.546957,8.574004,8.156274,8.222389,5.311436,3763900
2006-06-06,8.282495,8.309542,7.903831,8.117205,5.243487,5021800
2006-06-07,8.030052,8.114200,7.753569,7.759579,5.012474,6004300
2006-06-08,7.630353,7.633358,7.170548,7.543200,4.872701,11513100
2006-06-09,7.663411,7.846732,7.528174,7.534185,4.866878,5647600
2006-06-12,7.588280,7.603306,7.104433,7.104433,4.589265,5820900
2006-06-13,6.942149,7.206612,6.728776,6.827949,4.410668,8754100
2006-06-14,7.023291,7.101428,6.665665,6.981217,4.509674,6190400
2006-06-15,7.179564,7.672427,7.179564,7.588280,4.901817,7112800
2006-06-16,7.407964,7.630353,7.305785,7.597295,4.907647,5573000
2006-06-19,7.612321,7.738543,7.492111,7.507137,4.849406,8434600
2006-06-20,7.531179,7.831706,7.483096,7.795642,5.035772,6043500
2006-06-21,7.735537,8.099174,7.735537,8.084147,5.222137,7355000
2006-06-22,8.084147,8.114200,7.858753,7.975958,5.152246,5779900
2006-06-23,7.753569,8.108190,7.693463,8.048084,5.198844,2828300
2006-06-26,8.135237,8.249436,8.069121,8.138242,5.257079,3056500
2006-06-27,8.120211,8.144253,7.795642,7.816679,5.049359,7481700
2006-06-28,7.873779,7.915853,7.714500,7.900826,5.103717,4687200
2006-06-29,7.978963,8.592036,7.936890,8.592036,5.550221,6524500
2006-06-30,8.790383,8.844478,8.555973,8.763336,5.660875,5741100
2006-07-03,8.925620,9.208115,8.925620,9.172051,5.927132,3081400
2006-07-05,8.775357,8.925620,8.649136,8.745304,5.651360,5343900
2006-07-06,8.745304,8.913599,8.721262,8.829452,5.705740,3084500
2006-07-07,8.832457,8.853494,8.489858,8.616078,5.567852,3094500
2006-07-10,8.745304,8.826447,8.589031,8.721262,5.635825,2917500
2006-07-11,8.640121,8.832457,8.543952,8.808414,5.692144,3103100
2006-07-12,8.772351,8.820436,8.471826,8.480842,5.480464,2580200
2006-07-13,8.339594,8.381668,8.141247,8.195342,5.295966,4246600
2006-07-14,8.258452,8.276484,7.984974,8.090158,5.227995,3759200
2006-07-17,8.090158,8.168295,7.957926,7.990984,5.163905,2511000
2006-07-18,8.114200,8.162284,7.795642,8.054094,5.204689,4569800
2006-07-19,8.066115,8.739294,8.066115,8.685199,5.612523,5522200
2006-07-20,8.805409,8.847483,8.510894,8.516905,5.503763,3915200
2006-07-21,8.595041,8.607062,8.444778,8.549962,5.525127,2618200
2006-07-24,8.739294,8.952667,8.709241,8.913599,5.760116,2714600
2006-07-25,8.982719,9.105935,8.886552,9.090909,5.874694,5336200
2006-07-26,9.000751,9.163035,8.946656,9.075883,5.864985,4046200
2006-07-27,9.166040,9.226146,8.862510,8.964688,5.793133,5239600
2006-07-28,9.018783,9.352366,9.015778,9.280240,5.997046,4857000
2006-07-31,9.286251,9.295267,9.138993,9.274230,5.993164,3801900
2006-08-01,9.090909,9.090909,8.847483,8.880541,5.740801,4310300
2006-08-02,8.955672,8.994740,8.754320,8.949662,5.785484,6364000
2006-08-03,8.784372,8.823441,8.715252,8.757325,5.661149,8377200
2006-08-04,8.985725,9.196094,8.967693,9.036815,5.841825,5772000
2006-08-07,8.997746,8.997746,8.850489,8.883546,5.742746,2572700
2006-08-08,9.000751,9.006762,8.757325,8.823441,5.703887,4161500
2006-08-09,8.955672,9.072878,8.733283,8.763336,5.665035,3071800
2006-08-10,8.775357,9.015778,8.715252,8.994740,5.814626,3172600
2006-08-11,9.015778,9.060857,8.775357,8.808414,5.694176,1372800
2006-08-14,8.850489,8.874531,8.580015,8.619083,5.598138,1799700
2006-08-15,8.772351,9.099925,8.751315,9.060857,5.885076,3111300
2006-08-16,9.286251,9.355371,9.132982,9.289256,6.033421,3969200
2006-08-17,9.346356,9.424493,9.169045,9.283246,6.029517,2825900
2006-08-18,9.280240,9.301277,9.138993,9.250188,6.008044,2175300
2006-08-21,9.181067,9.211120,9.057851,9.057851,5.883124,1380100
2006-08-22,8.973704,9.187078,8.946656,9.045830,5.875314,3416800
