Date,Open,High,Low,Close,Adj Close,Volume
2014-12-19,39.000000,39.500000,34.709999,35.000000,35.000000,0
2014-12-22,37.500000,41.189999,36.860001,39.200001,39.200001,0
2014-12-23,39.750000,40.490002,36.750000,37.279999,37.279999,0
2014-12-24,38.029999,40.000000,37.799999,39.990002,39.990002,0
2014-12-26,39.990002,49.709999,39.990002,48.730000,48.730000,0
2014-12-29,51.799999,56.500000,50.130001,54.209999,54.209999,9872900
2014-12-30,53.349998,53.898998,50.759998,51.380001,51.380001,2485900
2014-12-31,52.500000,54.445999,51.400002,52.220001,52.220001,1762400
2015-01-02,53.320000,54.000000,48.070000,48.250000,48.250000,2279500
2015-01-05,46.290001,48.799999,44.910000,45.950001,45.950001,2117800
2015-01-06,47.450001,52.990002,46.959999,51.660000,51.660000,3070800
2015-01-07,53.070000,54.709999,50.200001,52.759998,52.759998,2208100
2015-01-08,53.889999,55.699001,51.680000,52.750000,52.750000,1690500
2015-01-09,54.090000,57.349998,52.522999,54.270000,54.270000,2899600
2015-01-12,56.090000,61.700001,55.000000,61.509998,61.509998,2634800
2015-01-13,60.230000,61.195999,55.250000,56.560001,56.560001,3141300
2015-01-14,55.529999,55.750000,51.230000,51.880001,51.880001,2903000
2015-01-15,53.299999,53.790001,44.230000,44.599998,44.599998,4244100
2015-01-16,45.150002,50.590000,45.150002,50.139999,50.139999,2576600
2015-01-20,50.950001,50.980000,45.099998,47.709999,47.709999,2065000
2015-01-21,46.500000,47.470001,44.650002,45.849998,45.849998,1292600
2015-01-22,46.349998,46.639999,43.009998,43.880001,43.880001,1662400
2015-01-23,43.869999,44.382000,40.599998,41.299999,41.299999,2221200
2015-01-26,40.220001,45.500000,39.310001,45.389999,45.389999,2357900
2015-01-27,43.770000,47.230000,43.099998,45.400002,45.400002,2290100
2015-01-28,45.810001,46.700001,41.540001,42.430000,42.430000,1638800
2015-01-29,42.160000,43.709000,41.000000,42.490002,42.490002,668200
2015-01-30,42.400002,43.299999,41.520000,42.750000,42.750000,550900
2015-02-02,43.980000,43.980000,41.000000,41.990002,41.990002,759600
2015-02-03,42.119999,42.759998,40.099998,41.209999,41.209999,1133300
2015-02-04,40.500000,40.740002,38.000000,38.669998,38.669998,2521400
2015-02-05,39.639999,42.000000,39.299999,41.160000,41.160000,1294800
2015-02-06,41.779999,41.889999,39.400002,39.450001,39.450001,925000
2015-02-09,39.500000,41.299999,39.000000,39.400002,39.400002,634700
2015-02-10,40.779999,42.090000,39.599998,41.509998,41.509998,1226900
2015-02-11,41.610001,44.490002,41.509998,41.860001,41.860001,1824900
2015-02-12,42.500000,42.796001,40.000000,40.340000,40.340000,1333600
2015-02-13,40.740002,41.599998,39.304001,40.520000,40.520000,1345400
2015-02-17,40.250000,41.025002,40.000000,40.290001,40.290001,633300
2015-02-18,40.500000,43.000000,40.209999,42.869999,42.869999,1589500
2015-02-19,43.000000,44.869999,42.279999,44.860001,44.860001,1314000
2015-02-20,44.950001,45.980000,44.250000,45.520000,45.520000,886000
2015-02-23,47.110001,49.000000,44.444000,45.520000,45.520000,1914900
2015-02-24,46.000000,46.743000,44.500000,45.509998,45.509998,624200
2015-02-25,45.759998,48.180000,45.000000,48.020000,48.020000,1129600
2015-02-26,48.090000,48.830002,47.000000,47.599998,47.599998,625700
2015-02-27,47.610001,48.180000,46.119999,46.919998,46.919998,518300
2015-03-02,46.919998,47.340000,46.070999,46.549999,46.549999,498800
2015-03-03,46.090000,48.200001,46.000000,48.060001,48.060001,565000
2015-03-04,48.060001,50.250000,47.000000,50.000000,50.000000,1297900
2015-03-05,51.389999,54.419998,51.070000,52.029999,52.029999,2210200
2015-03-06,52.610001,54.150002,51.410000,52.840000,52.840000,1266600
2015-03-09,52.840000,53.000000,49.250000,50.340000,50.340000,1051700
2015-03-10,48.660000,52.240002,48.169998,51.060001,51.060001,998400
2015-03-11,50.720001,51.900002,49.549999,49.869999,49.869999,702200
2015-03-12,50.000000,50.299999,48.840000,49.869999,49.869999,491400
2015-03-13,49.500000,52.000000,48.770000,49.490002,49.490002,1117600
2015-03-16,49.720001,52.910000,49.000000,52.490002,52.490002,1344400
2015-03-17,52.200001,54.230000,51.700001,53.380001,53.380001,1051300
2015-03-18,53.049999,53.599998,50.560001,50.930000,50.930000,1164300
2015-03-19,49.650002,61.849998,48.520000,59.680000,59.680000,5986500
2015-03-20,61.000000,62.500000,56.119999,61.529999,61.529999,4656000
2015-03-23,60.000000,61.250000,58.250000,58.680000,58.680000,1320300
2015-03-24,60.000000,61.000000,57.090000,57.750000,57.750000,1173600
2015-03-25,60.000000,60.000000,52.115002,53.480000,53.480000,2323700
2015-03-26,52.220001,55.099998,51.187000,53.430000,53.430000,1464700
2015-03-27,54.000000,57.750000,53.970001,56.599998,56.599998,1257500
2015-03-30,58.450001,60.799999,56.599998,60.750000,60.750000,1529500
2015-03-31,59.299999,64.550003,59.009998,60.660000,60.660000,3037300
2015-04-01,61.380001,61.380001,57.000000,59.500000,59.500000,1461600
2015-04-02,59.650002,60.599998,56.740002,57.040001,57.040001,1008800
2015-04-06,56.040001,59.009998,55.560001,57.799999,57.799999,833300
2015-04-07,57.799999,58.950001,56.119999,56.299999,56.299999,669200
2015-04-08,56.500000,59.500000,56.500000,58.700001,58.700001,844000
2015-04-09,58.820000,59.970001,56.830002,59.240002,59.240002,684100
2015-04-10,59.500000,61.500000,59.340000,60.389999,60.389999,931100
2015-04-13,60.240002,63.900002,59.500000,60.200001,60.200001,1463200
2015-04-14,60.250000,62.250000,58.599998,61.939999,61.939999,1316100
2015-04-15,63.990002,66.000000,63.000000,63.919998,63.919998,1729000
2015-04-16,63.619999,65.250000,62.220001,64.500000,64.500000,842800
2015-04-17,63.500000,65.438004,62.389999,64.660004,64.660004,889700
2015-04-20,65.889999,65.900002,55.700001,55.900002,55.900002,3281000
2015-04-21,57.279999,59.500000,54.029999,56.400002,56.400002,3561300
2015-04-22,56.680000,56.680000,54.549999,55.720001,55.720001,925600
2015-04-23,56.700001,57.849998,55.360001,57.720001,57.720001,977300
2015-04-24,57.910000,58.889999,56.040001,56.660000,56.660000,885700
2015-04-27,56.619999,57.830002,50.549999,50.810001,50.810001,2139100
2015-04-28,51.980000,52.439999,47.029999,47.299999,47.299999,2444500
2015-04-29,47.299999,49.090000,45.000000,46.290001,46.290001,2313600
2015-04-30,46.139999,46.633999,42.020000,42.740002,42.740002,2141900
2015-05-01,43.480000,45.389999,43.230000,44.820000,44.820000,1853600
2015-05-04,45.480000,47.029999,44.580002,45.070000,45.070000,1707800
2015-05-05,45.500000,46.439999,43.119999,43.279999,43.279999,1824100
2015-05-06,44.419998,45.409000,42.770000,44.009998,44.009998,1059900
2015-05-07,44.060001,44.990002,43.000000,44.439999,44.439999,979700
2015-05-08,45.220001,47.419998,45.220001,46.169998,46.169998,1373300
2015-05-11,48.250000,49.470001,45.029999,45.580002,45.580002,1966800
2015-05-12,45.810001,47.639999,45.009998,45.459999,45.459999,1247100
2015-05-13,46.560001,46.590000,44.810001,46.119999,46.119999,1048400
2015-05-14,46.020000,46.689999,44.599998,44.889999,44.889999,1156300
2015-05-15,44.880001,45.150002,42.950001,43.369999,43.369999,1246500
2015-05-18,43.150002,43.530998,40.599998,40.810001,40.810001,2033500
2015-05-19,41.040001,45.529999,41.000000,45.439999,45.439999,1675200
2015-05-20,45.299999,46.630001,43.759998,45.880001,45.880001,1177100
2015-05-21,46.500000,46.500000,45.119999,46.340000,46.340000,823600
2015-05-22,46.500000,47.146000,45.580002,46.779999,46.779999,697300
2015-05-26,46.880001,47.150002,46.160000,46.450001,46.450001,482400
2015-05-27,47.119999,47.119999,46.000000,46.840000,46.840000,431800
2015-05-28,47.000000,51.000000,46.419998,50.599998,50.599998,1328300
2015-05-29,50.500000,52.939999,49.000000,52.639999,52.639999,1422200
2015-06-01,54.849998,56.360001,53.020000,53.070000,53.070000,1534500
2015-06-02,54.480000,61.500000,52.779999,56.570000,56.570000,6240000
2015-06-03,56.930000,59.560001,56.639999,57.220001,57.220001,1503400
2015-06-04,57.750000,64.191002,57.049999,64.000000,64.000000,2773300
2015-06-05,64.250000,69.279999,62.700001,68.360001,68.360001,3244500
2015-06-08,67.000000,69.279999,64.150002,65.489998,65.489998,2672200
2015-06-09,65.000000,66.300003,61.520000,62.139999,62.139999,1555100
2015-06-10,62.540001,64.745003,60.099998,64.370003,64.370003,1413400
2015-06-11,63.119999,64.349998,61.049999,61.450001,61.450001,1214700
2015-06-12,60.880001,61.450001,58.750000,60.000000,60.000000,1381700
2015-06-15,59.490002,60.090000,57.875000,60.090000,60.090000,828700
2015-06-16,58.000000,60.500000,58.000000,58.419998,58.419998,1290700
2015-06-17,58.000000,58.230000,51.060001,51.330002,51.330002,6036000
2015-06-18,52.990002,54.009998,51.299999,51.990002,51.990002,4056100
2015-06-19,52.970001,53.009998,50.790001,51.110001,51.110001,2677100
2015-06-22,51.000000,52.500000,49.590000,51.720001,51.720001,2150500
