Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,9.410000,9.970000,9.410000,9.890000,9.435132,3053300
2006-01-04,9.850000,10.040000,9.730000,9.930000,9.473293,2949900
2006-01-05,9.660000,9.880000,9.560000,9.780000,9.330190,1637600
2006-01-06,9.950000,10.350000,9.950000,10.220000,9.749953,2270800
2006-01-09,10.150000,10.430000,10.090000,10.140000,9.673633,2245300
2006-01-10,9.950000,10.150000,9.700000,9.990000,9.530532,1834200
2006-01-11,10.250000,10.280000,10.080000,10.140000,9.673633,2248300
2006-01-12,10.150000,10.270000,9.870000,10.120000,9.654551,1761100
2006-01-13,10.090000,10.420000,10.090000,10.360000,9.883513,1781200
2006-01-17,10.390000,10.680000,10.310000,10.430000,9.950295,2252800
2006-01-18,10.200000,10.300000,9.900000,10.000000,9.540071,2466400
2006-01-19,10.210000,10.600000,10.210000,10.460000,9.978917,1962600
2006-01-20,10.680000,10.740000,10.320000,10.570000,10.083856,2680600
2006-01-23,10.620000,10.650000,10.330000,10.590000,10.102938,1742000
2006-01-24,10.560000,10.590000,10.280000,10.470000,9.988455,1438400
2006-01-25,10.620000,10.820000,10.460000,10.600000,10.112476,1467300
2006-01-26,10.540000,10.880000,10.450000,10.850000,10.350978,1948300
2006-01-27,10.840000,10.990000,10.680000,10.850000,10.350978,1361000
2006-01-30,10.990000,11.300000,10.920000,11.210000,10.694422,1522000
2006-01-31,11.310000,11.940000,11.300000,11.540000,11.009242,3172200
2006-02-01,11.570000,11.700000,11.140000,11.490000,10.961542,2390200
2006-02-02,11.600000,11.640000,11.170000,11.280000,10.761202,2143200
2006-02-03,11.100000,11.250000,10.780000,10.960000,10.455919,2328500
2006-02-06,11.060000,11.190000,10.940000,11.090000,10.579939,1848500
2006-02-07,10.660000,10.710000,10.150000,10.160000,9.692713,3575900
2006-02-08,10.150000,10.310000,9.830000,10.070000,9.606851,2589500
2006-02-09,10.380000,10.510000,10.170000,10.180000,9.711794,1729200
2006-02-10,10.080000,10.140000,9.540000,9.790000,9.339731,3101700
2006-02-13,9.670000,9.790000,9.390000,9.550000,9.110768,1611500
2006-02-14,9.650000,10.030000,9.600000,9.960000,9.501912,2495500
2006-02-15,9.950000,10.310000,9.770000,9.960000,9.501912,2936000
2006-02-16,9.720000,9.720000,9.210000,9.420000,8.986749,5544800
2006-02-17,9.640000,9.800000,9.500000,9.560000,9.120309,2669600
2006-02-21,9.750000,9.770000,9.410000,9.430000,8.996287,1799100
2006-02-22,9.430000,9.560000,9.300000,9.490000,9.053528,1400500
2006-02-23,9.490000,9.490000,9.270000,9.280000,8.853185,1022200
2006-02-24,9.480000,9.750000,9.390000,9.700000,9.253869,1606200
2006-02-27,9.660000,9.680000,9.310000,9.340000,8.910426,1857000
2006-02-28,9.450000,9.470000,9.100000,9.200000,8.776867,1948000
2006-03-01,9.310000,9.680000,9.230000,9.520000,9.082150,2272200
2006-03-02,9.670000,10.270000,9.560000,10.200000,9.730876,3337000
2006-03-03,10.120000,10.140000,9.860000,9.900000,9.444671,2154400
2006-03-06,9.850000,9.920000,9.250000,9.430000,8.996287,2531000
2006-03-07,9.400000,9.440000,8.980000,9.170000,8.748247,2864100
2006-03-08,8.950000,9.330000,8.880000,9.240000,8.815027,2042500
2006-03-09,9.480000,9.530000,8.930000,8.990000,8.576523,2074300
2006-03-10,8.830000,9.260000,8.770000,9.190000,8.767325,1924100
2006-03-13,9.280000,9.380000,9.100000,9.280000,8.853185,1152700
2006-03-14,9.210000,9.600000,9.170000,9.580000,9.139387,1642000
2006-03-15,9.780000,9.920000,9.620000,9.810000,9.358811,2206500
2006-03-16,9.860000,9.960000,9.710000,9.740000,9.292030,2402500
2006-03-17,9.780000,9.780000,9.400000,9.480000,9.043989,1469400
2006-03-20,9.450000,9.790000,9.420000,9.680000,9.234789,1621400
2006-03-21,9.520000,9.800000,9.370000,9.580000,9.139387,1488800
2006-03-22,9.530000,9.700000,9.480000,9.690000,9.244328,943800
2006-03-23,9.590000,9.800000,9.490000,9.730000,9.282490,1073100
2006-03-24,9.890000,10.180000,9.750000,10.100000,9.635473,2341400
2006-03-27,10.280000,10.610000,10.240000,10.410000,9.931213,2399500
2006-03-28,10.490000,10.490000,10.070000,10.110000,9.645013,1951000
2006-03-29,10.180000,10.570000,10.150000,10.570000,10.083856,1586200
2006-03-30,11.170000,11.170000,10.760000,11.040000,10.532240,2755400
2006-03-31,10.940000,11.020000,10.730000,10.930000,10.427299,2009200
2006-04-03,11.000000,11.130000,10.860000,10.860000,10.360518,1810400
2006-04-04,10.870000,11.000000,10.800000,10.910000,10.408218,1486100
2006-04-05,11.000000,11.140000,10.870000,11.070000,10.560859,1757700
2006-04-06,11.220000,11.250000,11.020000,11.120000,10.608560,1877600
2006-04-07,11.000000,11.040000,10.740000,10.850000,10.350978,1892700
2006-04-10,11.040000,11.100000,10.710000,10.800000,10.303278,1880000
2006-04-11,10.810000,11.010000,10.570000,10.570000,10.083856,1726900
2006-04-12,10.620000,10.860000,10.610000,10.760000,10.265117,958800
2006-04-13,10.670000,10.860000,10.610000,10.860000,10.360518,993800
2006-04-17,11.120000,11.540000,11.120000,11.540000,11.009242,2614200
2006-04-18,11.540000,11.710000,11.390000,11.650000,11.114183,2042500
2006-04-19,11.680000,12.040000,11.530000,12.020000,11.467167,2665500
2006-04-20,12.000000,12.000000,11.180000,11.210000,10.694422,2811100
2006-04-21,11.440000,11.580000,11.360000,11.480000,10.952001,1921300
2006-04-24,11.310000,11.710000,11.210000,11.660000,11.123724,1454500
2006-04-25,11.750000,12.080000,11.660000,11.900000,11.352685,2046600
2006-04-26,12.030000,12.250000,11.940000,12.110000,11.553027,1783600
2006-04-27,11.840000,12.110000,11.700000,11.790000,11.247746,1987600
2006-04-28,12.010000,12.370000,11.910000,12.250000,11.686588,2104500
2006-05-01,12.560000,12.760000,12.380000,12.470000,11.896469,2368100
2006-05-02,12.650000,12.880000,12.500000,12.830000,12.239912,2956300
2006-05-03,12.920000,12.920000,12.350000,12.590000,12.010952,2448500
2006-05-04,12.490000,12.650000,12.150000,12.600000,12.020490,2142600
2006-05-05,12.550000,12.650000,12.190000,12.280000,11.715208,2025200
2006-05-08,12.130000,12.200000,11.900000,12.120000,11.562566,1722800
2006-05-09,12.410000,12.890000,12.290000,12.700000,12.115891,2165500
2006-05-10,12.630000,12.950000,12.560000,12.670000,12.087271,2577800
2006-05-11,13.080000,13.120000,12.590000,12.680000,12.096812,2714100
2006-05-12,12.670000,12.830000,11.940000,12.280000,11.715208,2939600
2006-05-15,11.700000,11.870000,11.270000,11.430000,10.904303,2879700
2006-05-16,11.530000,11.850000,11.000000,11.460000,10.932921,3074000
2006-05-17,11.650000,11.900000,10.920000,11.100000,10.589480,3523000
2006-05-18,11.110000,11.290000,10.660000,10.830000,10.331899,2181400
2006-05-19,10.590000,10.870000,10.260000,10.840000,10.341437,3451700
2006-05-22,10.530000,10.700000,10.330000,10.630000,10.141097,2581200
2006-05-23,10.890000,11.430000,10.830000,10.960000,10.455919,2469900
2006-05-24,10.630000,10.790000,10.240000,10.540000,10.055235,2789100
2006-05-25,10.740000,11.000000,10.650000,10.970000,10.465458,1466600
2006-05-26,11.070000,11.070000,10.750000,10.980000,10.474998,1146000
2006-05-30,11.300000,11.320000,10.830000,10.880000,10.379599,1713000
2006-05-31,10.990000,11.100000,10.740000,10.990000,10.484540,1368900
2006-06-01,10.640000,11.050000,10.510000,11.000000,10.494079,1579700
2006-06-02,11.240000,11.430000,11.190000,11.340000,10.818441,1484600
2006-06-05,11.440000,11.500000,10.940000,10.970000,10.465458,1301600
2006-06-06,10.760000,10.810000,10.620000,10.630000,10.141097,1673000
2006-06-07,10.540000,10.700000,10.280000,10.290000,9.816732,1777100
2006-06-08,10.130000,10.140000,9.500000,9.950000,9.492373,3027400
2006-06-09,10.200000,10.340000,9.760000,9.850000,9.396971,1706900
2006-06-12,10.020000,10.070000,9.550000,9.560000,9.120309,1862400
2006-06-13,9.100000,9.450000,9.030000,9.070000,8.652845,3793600
2006-06-14,9.420000,9.420000,8.920000,9.190000,8.767325,3449800
2006-06-15,9.550000,9.890000,9.350000,9.860000,9.406511,3158900
2006-06-16,9.860000,9.900000,9.630000,9.710000,9.263410,1484600
2006-06-19,9.600000,9.630000,9.250000,9.290000,8.862726,1155000
2006-06-20,9.310000,9.540000,9.160000,9.350000,8.919968,1826900
2006-06-21,9.300000,9.960000,9.300000,9.880000,9.425591,1813900
2006-06-22,9.890000,9.960000,9.540000,9.750000,9.301570,2069500
2006-06-23,9.570000,10.230000,9.550000,10.080000,9.616393,1750100
