Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,28.355000,29.254999,27.559999,29.084999,25.962696,8779000
2006-01-04,29.135000,29.450001,28.745001,28.910000,25.806477,6692800
2006-01-05,29.135000,30.100000,28.980000,30.080000,26.850878,8597600
2006-01-06,30.264999,30.945000,29.740000,30.690001,27.395401,9095800
2006-01-09,30.985001,31.290001,30.754999,31.030001,27.698900,9012800
2006-01-10,31.445000,32.500000,31.150000,32.500000,29.011091,17994800
2006-01-11,32.755001,33.695000,32.744999,33.424999,29.836796,18844600
2006-01-12,33.325001,33.355000,31.885000,31.975000,28.542452,12811400
2006-01-13,32.014999,32.305000,31.160000,32.230000,28.770081,11398600
2006-01-17,32.115002,32.119999,31.299999,31.480000,28.100590,7097000
2006-01-18,30.750000,32.139999,30.490000,31.975000,28.542452,11904600
2006-01-19,32.845001,33.099998,32.485001,32.549999,29.055725,8943400
2006-01-20,32.474998,32.715000,31.100000,31.205000,27.855114,9007800
2006-01-23,31.500000,31.995001,31.200001,31.490000,28.109514,8196800
2006-01-24,31.684999,32.695000,31.680000,32.619999,29.118208,7517200
2006-01-25,33.040001,33.070000,31.745001,32.145000,28.694206,6690400
2006-01-26,32.645000,33.345001,32.145000,33.049999,29.502050,7602800
2006-01-27,34.794998,36.834999,34.605000,35.320000,31.528364,22447600
2006-01-30,34.820000,35.139999,34.049999,34.445000,30.747292,8694200
2006-01-31,34.650002,34.939999,33.875000,34.209999,30.537516,8490200
2006-02-01,33.900002,34.125000,33.450001,33.849998,30.216164,9327400
2006-02-02,33.930000,34.715000,33.575001,33.955002,30.309898,9369800
2006-02-03,34.000000,34.020000,33.009998,33.205002,29.640413,9897400
2006-02-06,33.540001,34.250000,33.349998,34.005001,30.354534,6903800
2006-02-07,33.959999,34.474998,33.134998,33.470001,29.876965,8973000
2006-02-08,33.834999,33.930000,33.060001,33.875000,30.238487,7601200
2006-02-09,33.950001,34.799999,33.849998,34.375000,30.684809,9987400
2006-02-10,34.154999,34.465000,32.855000,33.575001,29.970688,10210000
2006-02-13,33.369999,33.674999,31.504999,31.665001,28.265732,16023800
2006-02-14,31.795000,32.299999,30.705000,32.125000,28.676353,16925200
2006-02-15,32.150002,32.575001,31.584999,31.985001,28.551374,8870600
2006-02-16,32.110001,32.924999,32.105000,32.740002,29.225327,7867600
2006-02-17,32.825001,32.830002,31.860001,31.860001,28.439795,7803800
2006-02-21,31.930000,32.005001,30.730000,31.150000,27.806015,14324400
2006-02-22,31.000000,32.185001,30.525000,32.165001,28.712055,11382600
2006-02-23,32.224998,32.264999,31.325001,31.415001,28.042572,19991000
2006-02-24,31.625000,32.080002,30.775000,31.150000,27.806015,28645800
2006-02-27,31.400000,31.600000,31.049999,31.200001,27.850651,7359600
2006-02-28,31.209999,31.590000,30.530001,30.610001,27.323982,8306200
2006-03-01,30.680000,32.625000,30.549999,32.590000,29.091433,16204600
2006-03-02,32.500000,33.125000,31.990000,32.415001,28.935221,16421000
2006-03-03,32.244999,32.900002,31.990000,31.990000,28.555840,9698600
2006-03-06,32.075001,32.340000,31.014999,31.165001,27.819412,9277400
2006-03-07,30.969999,30.990000,29.080000,29.480000,26.315292,19880600
2006-03-08,29.395000,30.045000,28.840000,29.705000,26.516142,12992200
2006-03-09,29.969999,30.285000,29.170000,29.299999,26.154615,10165000
2006-03-10,29.500000,29.795000,28.415001,28.565001,25.498516,9693000
2006-03-13,28.830000,29.240000,28.170000,28.480000,25.422644,11116800
2006-03-14,28.610001,29.375000,28.365000,29.350000,26.199247,10728200
2006-03-15,29.500000,29.775000,28.674999,28.940001,25.833265,10760400
2006-03-16,29.215000,29.450001,27.620001,27.625000,24.659431,14220200
2006-03-17,27.405001,27.745001,26.795000,27.105000,24.195248,20663400
2006-03-20,27.225000,28.250000,27.225000,27.940001,24.940617,13202600
2006-03-21,27.344999,28.670000,27.250000,27.344999,24.409483,13285200
2006-03-22,27.129999,27.764999,26.815001,27.315001,24.382706,19080800
2006-03-23,27.510000,28.465000,27.415001,28.385000,25.337839,19114200
2006-03-24,28.230000,28.889999,28.174999,28.885000,25.784168,11265000
2006-03-27,28.725000,29.084999,28.535000,28.615000,25.543156,6877000
2006-03-28,28.639999,28.695000,27.260000,27.375000,24.436268,11038200
2006-03-29,27.540001,27.980000,27.180000,27.700001,24.726376,14867400
2006-03-30,27.870001,28.100000,27.315001,27.490000,24.538919,10236800
2006-03-31,27.540001,27.645000,26.920000,27.049999,24.146158,8633200
2006-04-03,27.295000,28.325001,27.240000,27.855000,24.864738,12029600
2006-04-04,28.020000,28.580000,27.480000,27.535000,24.579090,13783400
2006-04-05,27.495001,29.035000,27.450001,28.985001,25.873434,17193400
2006-04-06,29.275000,30.225000,29.125000,30.090000,26.859808,22277800
2006-04-07,30.030001,30.275000,29.485001,29.870001,26.663427,16209400
2006-04-10,30.020000,30.295000,29.084999,29.165001,26.034109,8629200
2006-04-11,29.184999,29.424999,28.080000,28.245001,25.212868,12387600
2006-04-12,28.225000,28.645000,27.955000,28.254999,25.221798,7459200
2006-04-13,28.350000,29.235001,28.275000,28.770000,25.681513,7851000
2006-04-17,28.965000,29.330000,28.320000,28.389999,25.342304,8297800
2006-04-18,28.565001,29.684999,28.490000,29.555000,26.382238,9693600
2006-04-19,29.650000,30.565001,29.100000,30.445000,27.176695,13267000
2006-04-20,30.565001,31.139999,30.165001,30.495001,27.221333,13027200
2006-04-21,30.225000,30.350000,28.660000,28.795000,25.703827,17896000
2006-04-24,28.895000,28.924999,27.740000,28.254999,25.221798,11302200
2006-04-25,28.370001,28.440001,27.799999,27.959999,24.958464,9490400
2006-04-26,28.084999,28.285000,27.375000,27.674999,24.704060,6974000
2006-04-27,27.379999,28.565001,27.209999,28.100000,25.083439,15015800
2006-04-28,28.260000,29.000000,28.100000,28.545000,25.480667,8101600
2006-05-01,28.559999,28.750000,27.620001,27.885000,24.891518,11229000
2006-05-02,28.080000,28.120001,27.215000,27.430000,24.485363,10573800
2006-05-03,27.475000,27.905001,27.250000,27.875000,24.882591,11232000
2006-05-04,27.875000,28.740000,27.790001,28.520000,25.458351,10693400
2006-05-05,29.209999,29.540001,28.799999,28.955000,25.846653,10575400
2006-05-08,28.850000,28.900000,28.025000,28.559999,25.494057,9364200
2006-05-09,28.459999,28.674999,27.750000,28.365000,25.319986,10694400
2006-05-10,28.180000,28.725000,27.930000,28.004999,24.998632,7912800
2006-05-11,28.025000,28.025000,26.969999,27.209999,24.288984,14347000
2006-05-12,27.025000,27.934999,26.385000,27.375000,24.436268,21392000
2006-05-15,27.145000,27.820000,25.680000,26.035000,23.240116,19541600
2006-05-16,26.254999,26.500000,25.075001,25.129999,22.432268,19581000
2006-05-17,25.105000,25.500000,24.375000,25.180000,22.476900,22540600
2006-05-18,25.450001,25.500000,24.775000,24.855000,22.186790,18998000
2006-05-19,26.750000,28.270000,26.459999,28.110001,25.092363,38774000
2006-05-22,27.690001,27.940001,25.799999,26.504999,23.659664,28518200
2006-05-23,26.620001,26.834999,25.215000,26.090000,23.289215,29833800
2006-05-24,26.014999,26.844999,25.290001,25.629999,22.878599,21019000
2006-05-25,25.995001,26.000000,24.639999,24.795000,22.133230,19960000
2006-05-26,25.010000,25.434999,24.360001,24.805000,22.142160,13817000
2006-05-30,24.684999,24.700001,23.405001,23.405001,20.892448,17567400
2006-05-31,23.639999,24.135000,23.500000,23.834999,21.276287,18834800
2006-06-01,23.820000,24.809999,23.625000,24.809999,22.146626,14078800
2006-06-02,25.195000,25.504999,24.834999,25.090000,22.396566,14768400
2006-06-05,25.125000,25.410000,24.500000,24.645000,21.999332,11314200
2006-06-06,24.665001,24.905001,24.165001,24.225000,21.624422,14554600
2006-06-07,24.340000,24.580000,23.725000,23.875000,21.311995,11272200
2006-06-08,23.730000,23.825001,22.719999,23.530001,21.004034,14576600
2006-06-09,23.950001,24.639999,23.540001,23.750000,21.200415,10053800
2006-06-12,23.940001,24.330000,23.375000,23.405001,20.892448,9116200
2006-06-13,23.275000,24.219999,23.125000,23.420000,20.905840,15380800
2006-06-14,23.719999,24.480000,23.684999,24.365000,21.749393,12875400
2006-06-15,24.580000,26.280001,24.575001,26.094999,23.293673,16929200
2006-06-16,26.014999,26.535000,25.375000,26.315001,23.490067,15461000
2006-06-19,26.545000,26.740000,26.120001,26.230000,23.414181,11135800
2006-06-20,26.299999,26.299999,25.065001,25.235001,22.525993,10073400
2006-06-21,25.315001,26.165001,24.990000,25.580000,22.833960,10764000
2006-06-22,25.500000,26.135000,25.200001,25.799999,23.030346,8604000
2006-06-23,25.730000,26.139999,25.475000,25.690001,22.932154,5181200
2006-06-26,25.690001,26.075001,25.625000,25.950001,23.164246,3417400
2006-06-27,23.270000,23.750000,21.565001,22.070000,19.700764,81708000
2006-06-28,21.930000,21.945000,20.834999,21.160000,18.888449,47979600
2006-06-29,21.315001,22.570000,21.305000,22.525000,20.106918,24753000
2006-06-30,22.545000,22.580000,22.040001,22.165001,19.785564,13106800
2006-07-03,22.280001,22.620001,22.125000,22.420000,20.013189,3213600
2006-07-05,21.575001,21.575001,20.450001,20.655001,18.437666,27343800
2006-07-06,20.549999,21.445000,20.280001,20.615000,18.401957,15907400
2006-07-07,20.665001,21.400000,20.459999,20.865000,18.625126,14034600
2006-07-10,20.990000,21.250000,19.555000,19.674999,17.562868,16243200
2006-07-11,19.600000,20.584999,19.375000,20.455000,18.259130,13694800
2006-07-12,20.400000,20.415001,19.855000,20.219999,18.049364,11502400
2006-07-13,19.995001,20.160000,19.450001,19.475000,17.384338,19418600
