Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.860000,3.900000,3.750000,3.880000,3.880000,1262400
2006-01-04,3.870000,4.030000,3.820000,3.980000,3.980000,2960700
2006-01-05,4.180000,4.250000,4.000000,4.020000,4.020000,2818200
2006-01-06,4.070000,4.100000,3.880000,3.990000,3.990000,1924600
2006-01-09,4.160000,4.560000,4.050000,4.530000,4.530000,9615100
2006-01-10,4.570000,4.690000,4.330000,4.500000,4.500000,6081900
2006-01-11,4.460000,4.530000,4.330000,4.530000,4.530000,3189900
2006-01-12,4.470000,4.780000,4.470000,4.630000,4.630000,6020300
2006-01-13,4.590000,4.760000,4.450000,4.530000,4.530000,3448500
2006-01-17,4.550000,4.680000,4.500000,4.630000,4.630000,3188800
2006-01-18,4.570000,4.590000,4.330000,4.530000,4.530000,2888500
2006-01-19,4.530000,4.580000,4.350000,4.410000,4.410000,1825400
2006-01-20,4.440000,4.440000,4.100000,4.130000,4.130000,3131400
2006-01-23,4.050000,4.320000,4.040000,4.180000,4.180000,2725600
2006-01-24,4.190000,4.290000,4.070000,4.110000,4.110000,1400300
2006-01-25,4.180000,4.180000,3.980000,4.000000,4.000000,1915900
2006-01-26,4.010000,4.390000,3.980000,4.390000,4.390000,3924700
2006-01-27,4.210000,4.360000,4.140000,4.280000,4.280000,3654700
2006-01-30,4.300000,4.360000,4.220000,4.280000,4.280000,1197800
2006-01-31,4.330000,4.330000,4.180000,4.200000,4.200000,1287700
2006-02-01,4.270000,4.300000,4.100000,4.280000,4.280000,1263800
2006-02-02,4.350000,4.490000,4.200000,4.400000,4.400000,2970600
2006-02-03,4.360000,4.410000,4.200000,4.240000,4.240000,1484600
2006-02-06,4.290000,4.310000,4.140000,4.190000,4.190000,933400
2006-02-07,4.180000,4.220000,4.090000,4.160000,4.160000,1291000
2006-02-08,4.160000,4.370000,4.160000,4.280000,4.280000,2389100
2006-02-09,4.300000,4.400000,4.240000,4.300000,4.300000,1377400
2006-02-10,4.300000,4.300000,4.100000,4.160000,4.160000,1106300
2006-02-13,4.170000,4.270000,4.110000,4.170000,4.170000,918300
2006-02-14,4.180000,4.300000,4.090000,4.200000,4.200000,2026400
2006-02-15,4.380000,4.520000,4.240000,4.380000,4.380000,5185700
2006-02-16,4.440000,4.450000,4.250000,4.440000,4.440000,2165100
2006-02-17,4.480000,4.730000,4.440000,4.600000,4.600000,5745200
2006-02-21,4.730000,5.180000,4.720000,4.980000,4.980000,9592200
2006-02-22,5.000000,5.030000,4.730000,4.880000,4.880000,3655800
2006-02-23,4.890000,5.090000,4.730000,4.920000,4.920000,2930900
2006-02-24,4.950000,5.220000,4.870000,5.120000,5.120000,3875100
2006-02-27,5.470000,5.750000,5.320000,5.720000,5.720000,12022300
2006-02-28,6.000000,6.150000,5.530000,5.800000,5.800000,13161600
2006-03-01,6.040000,6.040000,5.620000,5.690000,5.690000,9378000
2006-03-02,5.650000,5.660000,5.340000,5.380000,5.380000,6098300
2006-03-03,5.500000,5.520000,5.260000,5.400000,5.400000,3752000
2006-03-06,5.760000,5.790000,5.510000,5.770000,5.770000,4995200
2006-03-07,5.660000,5.690000,5.460000,5.460000,5.460000,2567000
2006-03-08,5.420000,5.500000,5.270000,5.380000,5.380000,2374100
2006-03-09,5.370000,5.650000,5.300000,5.540000,5.540000,3543500
2006-03-10,5.630000,5.800000,5.550000,5.740000,5.740000,3865900
2006-03-13,5.860000,6.180000,5.780000,6.140000,6.140000,8672500
2006-03-14,6.300000,6.860000,6.270000,6.650000,6.650000,14808000
2006-03-15,6.720000,7.000000,6.460000,7.000000,7.000000,8618000
2006-03-16,7.140000,7.550000,7.070000,7.300000,7.300000,14880300
2006-03-17,7.330000,7.470000,6.960000,7.360000,7.360000,9223300
2006-03-20,7.540000,8.310000,7.410000,8.310000,8.310000,15525700
2006-03-21,7.710000,8.060000,7.570000,7.710000,7.710000,19844500
2006-03-22,7.750000,7.950000,7.280000,7.510000,7.510000,11668200
2006-03-23,7.310000,7.450000,7.090000,7.280000,7.280000,6976300
2006-03-24,7.400000,7.580000,7.180000,7.510000,7.510000,4740100
2006-03-27,7.630000,7.820000,7.420000,7.520000,7.520000,5997700
2006-03-28,7.530000,7.570000,7.000000,7.440000,7.440000,3335100
2006-03-29,7.510000,7.700000,7.430000,7.510000,7.510000,3770400
2006-03-30,7.630000,8.180000,7.570000,8.180000,8.180000,9752600
