Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,5.540000,5.770000,5.540000,5.770000,5.770000,2467700
2006-01-04,5.780000,5.870000,5.760000,5.770000,5.770000,2435800
2006-01-05,5.760000,6.020000,5.750000,5.900000,5.900000,3102000
2006-01-06,6.000000,6.200000,5.950000,6.140000,6.140000,5058700
2006-01-09,6.190000,6.480000,6.140000,6.370000,6.370000,3547500
2006-01-10,6.430000,6.600000,6.420000,6.550000,6.550000,3508700
2006-01-11,6.550000,6.900000,6.510000,6.850000,6.850000,4491000
2006-01-12,6.810000,7.000000,6.720000,6.800000,6.800000,5014000
2006-01-13,6.770000,6.980000,6.760000,6.940000,6.940000,2684600
2006-01-17,6.910000,6.970000,6.780000,6.950000,6.950000,2573100
2006-01-18,6.650000,6.940000,6.650000,6.860000,6.860000,2580200
2006-01-19,6.950000,7.280000,6.890000,7.190000,7.190000,5483200
2006-01-20,7.210000,7.240000,6.880000,6.880000,6.880000,3999600
2006-01-23,6.900000,6.950000,6.740000,6.780000,6.780000,4929200
2006-01-24,6.780000,7.280000,6.770000,7.270000,7.270000,6750600
2006-01-25,7.290000,7.300000,7.020000,7.100000,7.100000,3706200
2006-01-26,7.200000,7.600000,7.150000,7.550000,7.550000,5289400
2006-01-27,7.560000,7.680000,7.460000,7.510000,7.510000,3763100
2006-01-30,7.530000,7.650000,7.510000,7.530000,7.530000,2344200
2006-01-31,7.550000,7.650000,7.340000,7.510000,7.510000,3988000
2006-02-01,7.440000,7.570000,7.000000,7.560000,7.560000,3229400
2006-02-02,7.510000,7.550000,7.140000,7.250000,7.250000,6659200
2006-02-03,7.350000,7.430000,6.780000,6.860000,6.860000,6558400
2006-02-06,6.850000,7.000000,6.850000,6.960000,6.960000,5678600
2006-02-07,6.960000,6.990000,6.690000,6.710000,6.710000,2190000
2006-02-08,6.830000,7.010000,6.750000,6.990000,6.990000,2935800
2006-02-09,7.010000,7.130000,6.860000,6.880000,6.880000,3509800
2006-02-10,6.860000,6.880000,6.600000,6.720000,6.720000,2720400
2006-02-13,6.750000,6.820000,6.680000,6.750000,6.750000,2395000
2006-02-14,6.810000,6.850000,6.650000,6.690000,6.690000,2380000
2006-02-15,6.700000,6.790000,6.640000,6.720000,6.720000,2946800
2006-02-16,6.750000,6.790000,6.670000,6.700000,6.700000,2785500
2006-02-17,6.660000,6.750000,6.480000,6.650000,6.650000,1841300
2006-02-21,6.650000,6.730000,6.540000,6.620000,6.620000,5273200
2006-02-22,6.650000,6.750000,6.500000,6.630000,6.630000,3697500
2006-02-23,6.580000,6.770000,6.550000,6.620000,6.620000,2335200
2006-02-24,6.600000,6.730000,6.560000,6.570000,6.570000,2482100
2006-02-27,6.630000,6.670000,6.560000,6.590000,6.590000,1875500
2006-02-28,6.610000,6.680000,6.460000,6.590000,6.590000,5648600
2006-03-01,6.590000,6.940000,6.560000,6.900000,6.900000,4848300
2006-03-02,6.910000,7.200000,6.850000,6.940000,6.940000,4892300
2006-03-03,6.930000,7.250000,6.810000,7.070000,7.070000,4129000
2006-03-06,7.080000,7.350000,6.960000,7.020000,7.020000,4143600
2006-03-07,7.000000,7.150000,6.690000,6.790000,6.790000,3517700
2006-03-08,6.780000,6.930000,6.610000,6.910000,6.910000,1950400
2006-03-09,6.930000,7.300000,6.920000,7.060000,7.060000,3074600
2006-03-10,7.060000,7.150000,6.940000,7.030000,7.030000,1621700
2006-03-13,7.110000,7.210000,6.950000,6.970000,6.970000,2500500
2006-03-14,6.990000,7.160000,6.960000,7.120000,7.120000,3473400
2006-03-15,7.180000,7.250000,7.120000,7.210000,7.210000,2164100
2006-03-16,7.200000,7.210000,6.960000,7.020000,7.020000,3041200
2006-03-17,7.060000,7.070000,6.610000,6.760000,6.760000,4131700
2006-03-20,6.750000,6.850000,6.550000,6.660000,6.660000,4818600
2006-03-21,6.400000,6.740000,6.280000,6.400000,6.400000,7972200
2006-03-22,6.360000,6.620000,6.340000,6.500000,6.500000,3117700
2006-03-23,6.460000,6.840000,6.410000,6.830000,6.830000,2303000
2006-03-24,6.840000,7.000000,6.760000,6.960000,6.960000,1995000
2006-03-27,6.950000,7.060000,6.900000,7.040000,7.040000,2273300
2006-03-28,7.000000,7.120000,7.000000,7.050000,7.050000,3037300
2006-03-29,7.040000,7.220000,7.000000,7.150000,7.150000,2926300
2006-03-30,7.200000,7.290000,7.100000,7.170000,7.170000,1767900
2006-03-31,7.170000,7.280000,7.110000,7.260000,7.260000,3108500
2006-04-03,7.270000,7.540000,7.260000,7.450000,7.450000,5891700
2006-04-04,7.480000,7.500000,7.160000,7.170000,7.170000,3267800
2006-04-05,6.920000,7.380000,6.810000,7.310000,7.310000,6013400
2006-04-06,7.190000,7.240000,6.970000,7.110000,7.110000,6254100
2006-04-07,7.150000,7.170000,6.880000,6.990000,6.990000,7764900
2006-04-10,6.990000,7.090000,6.880000,6.940000,6.940000,7215200
2006-04-11,7.000000,7.010000,6.550000,6.640000,6.640000,4583900
2006-04-12,6.600000,6.790000,6.520000,6.670000,6.670000,2118800
2006-04-13,6.640000,6.760000,6.560000,6.690000,6.690000,3741600
2006-04-17,6.740000,6.880000,6.550000,6.660000,6.660000,2949600
2006-04-18,6.670000,7.140000,6.660000,7.100000,7.100000,3893800
2006-04-19,7.130000,7.200000,6.980000,7.160000,7.160000,2345400
2006-04-20,7.130000,7.140000,6.940000,7.070000,7.070000,4489500
2006-04-21,7.140000,7.140000,6.780000,6.840000,6.840000,1701100
2006-04-24,6.850000,6.890000,6.590000,6.730000,6.730000,3110400
2006-04-25,6.730000,6.820000,6.590000,6.710000,6.710000,2827700
2006-04-26,6.750000,6.880000,6.670000,6.820000,6.820000,2594700
2006-04-27,6.800000,7.070000,6.700000,7.010000,7.010000,3779100
2006-04-28,6.960000,7.200000,6.930000,7.170000,7.170000,3074700
2006-05-01,7.270000,7.370000,6.900000,6.920000,6.920000,3705800
2006-05-02,7.110000,7.140000,6.890000,7.110000,7.110000,2547400
2006-05-03,7.100000,7.250000,6.940000,7.210000,7.210000,3158800
2006-05-04,7.250000,7.250000,7.090000,7.130000,7.130000,1937600
2006-05-05,7.200000,7.250000,7.090000,7.190000,7.190000,1854400
2006-05-08,7.190000,7.220000,6.980000,7.000000,7.000000,3100900
2006-05-09,6.980000,7.090000,6.820000,6.880000,6.880000,2562000
2006-05-10,6.880000,6.910000,6.610000,6.620000,6.620000,3330600
2006-05-11,6.620000,6.670000,6.170000,6.240000,6.240000,5183600
2006-05-12,6.250000,6.370000,6.100000,6.110000,6.110000,6290100
2006-05-15,6.150000,6.320000,5.940000,6.000000,6.000000,4170800
2006-05-16,6.000000,6.080000,5.780000,5.820000,5.820000,3288400
2006-05-17,5.780000,5.910000,5.600000,5.760000,5.760000,2624800
2006-05-18,5.830000,5.890000,5.600000,5.690000,5.690000,3082500
2006-05-19,5.670000,6.060000,5.500000,6.040000,6.040000,3777400
2006-05-22,5.970000,6.030000,5.530000,5.780000,5.780000,4122100
