Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,18.174999,18.695000,18.165001,18.680000,14.264585,9465600
2006-01-04,18.735001,19.105000,18.637501,19.020000,14.524220,6941600
2006-01-05,19.004999,19.155001,18.764999,18.992500,14.503222,6626400
2006-01-06,19.200001,19.785000,19.145000,19.575001,14.948039,9071600
2006-01-09,19.875000,20.200001,19.775000,20.142500,15.381399,8828000
2006-01-10,19.752501,20.087500,19.690001,20.000000,15.272581,6928800
2006-01-11,20.312500,20.747499,20.212500,20.612499,15.740300,9498400
2006-01-12,21.174999,21.387501,20.764999,20.962500,16.007576,15507200
2006-01-13,20.750000,20.950001,20.700001,20.930000,15.982751,7737600
2006-01-17,21.612499,21.615000,20.639999,20.745001,15.841478,8924800
2006-01-18,20.525000,20.695000,20.307501,20.584999,15.719301,8158400
2006-01-19,20.750000,21.275000,20.750000,21.187500,16.179384,9259200
2006-01-20,21.475000,21.652500,21.317499,21.487499,16.408476,9378000
2006-01-23,21.674999,22.187500,21.455000,22.157499,16.920105,7775200
2006-01-24,22.525000,22.687500,22.317499,22.542500,17.214106,10821600
2006-01-25,22.437500,22.637501,21.502501,21.730000,16.593653,10419200
2006-01-26,22.150000,22.652500,21.947500,22.607500,17.263737,10260400
2006-01-27,22.975000,23.180000,22.330000,22.512501,17.191195,8209200
2006-01-30,22.387501,23.135000,22.385000,23.125000,17.658916,8160400
2006-01-31,22.975000,23.742500,22.889999,23.625000,18.040728,7818400
2006-02-01,23.350000,23.450001,22.754999,22.912500,17.496647,8307600
2006-02-02,23.102501,23.170000,21.805000,22.250000,16.990744,10746000
2006-02-03,21.750000,22.434999,21.532499,22.187500,16.943018,8468800
2006-02-06,22.697500,23.049999,22.600000,22.889999,17.479462,6400000
2006-02-07,22.562500,22.572500,21.670000,21.750000,16.608929,7826800
2006-02-08,21.500000,21.977501,21.434999,21.577499,16.477200,8857600
2006-02-09,21.650000,22.062500,21.440001,21.500000,16.418016,8180400
2006-02-10,21.877501,21.982500,20.862499,21.025000,16.055296,11610000
2006-02-13,21.059999,21.320000,20.652500,20.777500,15.866302,7268000
2006-02-14,20.775000,21.150000,20.549999,21.042500,16.068659,9848800
2006-02-15,21.312500,21.635000,21.030001,21.162500,16.160299,11297600
