Date,Open,High,Low,Close,Adj Close,Volume
2006-06-21,274.480011,274.480011,274.480011,274.480011,241.681885,100
2006-06-22,276.519989,279.480011,276.519989,279.200012,245.837891,3700
2006-06-23,280.799988,280.799988,277.839996,279.160004,245.802643,4200
2006-06-26,279.239990,280.480011,278.760010,279.200012,245.837891,4100
2006-06-27,279.200012,284.799988,279.200012,284.600006,250.592575,15700
2006-06-28,284.600006,285.799988,281.799988,282.799988,249.007690,38100
2006-06-29,280.399994,281.359985,276.000000,277.200012,244.076859,17200
2006-06-30,277.200012,279.799988,274.640015,275.880005,242.914581,14600
2006-07-03,275.000000,275.519989,274.079987,274.480011,241.681885,4600
2006-07-05,277.600006,280.600006,277.399994,280.200012,246.718338,19600
2006-07-06,279.200012,281.079987,278.480011,280.200012,246.718338,16600
2006-07-07,282.279999,283.799988,280.559998,282.799988,249.007690,23000
2006-07-10,283.399994,287.399994,282.920013,286.720001,252.459259,29800
2006-07-11,287.399994,288.799988,283.799988,284.399994,250.416473,61800
2006-07-12,285.200012,290.880005,285.079987,290.440002,255.734772,31900
2006-07-13,292.799988,294.640015,289.399994,293.799988,258.693268,111900
2006-07-14,295.600006,298.600006,294.600006,297.079987,261.581329,72900
2006-07-17,296.000000,298.279999,295.079987,296.399994,260.982605,38600
2006-07-18,294.839996,300.519989,294.440002,294.559998,259.362457,53800
2006-07-19,295.200012,296.079987,289.600006,292.200012,257.284485,98800
2006-07-20,291.160004,297.160004,290.200012,297.160004,261.651764,42200
2006-07-21,299.799988,300.040009,297.600006,299.600006,263.800232,42700
2006-07-24,298.799988,298.799988,293.279999,293.279999,258.235413,39200
2006-07-25,293.959991,295.440002,291.200012,292.880005,257.883209,49500
2006-07-26,294.399994,295.480011,290.399994,292.720001,257.742340,16100
2006-07-27,289.320007,295.519989,289.119995,294.720001,259.503357,22500
2006-07-28,293.079987,293.320007,288.279999,289.000000,254.466843,28900
2006-07-31,289.799988,290.000000,287.200012,289.000000,254.466843,14400
2006-08-01,292.200012,295.480011,292.200012,294.079987,258.939789,17400
2006-08-02,291.880005,292.320007,288.600006,291.200012,256.403961,34100
2006-08-03,294.000000,294.000000,287.480011,289.200012,254.642944,30900
2006-08-04,285.600006,293.200012,284.600006,290.600006,255.875702,62500
2006-08-07,292.200012,293.959991,290.279999,292.559998,257.601471,17800
2006-08-08,292.160004,296.279999,291.200012,294.399994,259.221588,23000
2006-08-09,291.000000,295.320007,288.600006,294.720001,259.503357,26100
2006-08-10,297.000000,297.000000,290.359985,292.440002,257.495789,19900
2006-08-11,293.320007,295.559998,292.640015,294.480011,259.292053,11500
2006-08-14,291.799988,293.000000,288.239990,292.720001,257.742340,23600
2006-08-15,289.040009,289.959991,284.000000,284.239990,250.275604,36000
2006-08-16,282.399994,283.760010,278.559998,278.880005,245.556122,57300
2006-08-17,278.880005,279.239990,275.519989,277.519989,244.358627,26100
2006-08-18,278.079987,280.559998,277.040009,277.399994,244.252960,35100
2006-08-21,277.200012,281.000000,277.200012,280.000000,246.542236,43900
2006-08-22,280.399994,281.359985,277.160004,280.279999,246.788818,19600
2006-08-23,279.000000,283.359985,278.519989,282.160004,248.444199,23900
2006-08-24,281.799988,283.839996,280.279999,281.920013,248.232849,17600
2006-08-25,281.760010,282.320007,278.720001,281.079987,247.493240,14000
2006-08-28,281.480011,281.480011,278.079987,279.200012,245.837891,11900
2006-08-29,279.959991,282.279999,278.079987,278.239990,244.992584,25400
2006-08-30,277.600006,279.200012,276.959991,277.079987,243.971146,20000
2006-08-31,276.799988,278.279999,276.359985,277.559998,244.393814,12500
2006-09-01,275.600006,277.160004,275.200012,275.880005,242.914581,34500
2006-09-05,276.880005,277.480011,273.320007,273.839996,241.118347,23400
2006-09-06,275.920013,279.880005,275.600006,279.600006,246.190094,56300
2006-09-07,282.000000,282.000000,278.040009,280.799988,247.246674,54000
