Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.470000,3.500000,3.450000,3.460000,3.460000,3844700
2006-01-04,3.460000,3.490000,3.410000,3.480000,3.480000,3097800
2006-01-05,3.460000,3.490000,3.450000,3.470000,3.470000,2308800
2006-01-06,3.470000,3.620000,3.470000,3.590000,3.590000,3541800
2006-01-09,3.620000,3.630000,3.550000,3.580000,3.580000,2649000
2006-01-10,3.630000,3.780000,3.610000,3.690000,3.690000,9004600
2006-01-11,3.720000,3.760000,3.700000,3.730000,3.730000,3842300
2006-01-12,3.710000,3.760000,3.660000,3.710000,3.710000,6352200
2006-01-13,3.680000,3.710000,3.640000,3.660000,3.660000,2017300
2006-01-17,3.610000,3.650000,3.570000,3.610000,3.610000,2217400
2006-01-18,3.560000,3.630000,3.550000,3.610000,3.610000,1260000
2006-01-19,3.570000,3.640000,3.550000,3.590000,3.590000,5074700
2006-01-20,3.570000,3.600000,3.560000,3.580000,3.580000,2251200
2006-01-23,3.580000,3.580000,3.470000,3.510000,3.510000,6369200
2006-01-24,3.510000,3.600000,3.510000,3.590000,3.590000,2750100
2006-01-25,3.580000,3.760000,3.570000,3.720000,3.720000,3959000
2006-01-26,3.730000,3.740000,3.660000,3.720000,3.720000,1743200
2006-01-27,3.730000,3.760000,3.680000,3.720000,3.720000,2136100
2006-01-30,3.650000,3.680000,3.590000,3.600000,3.600000,2515700
2006-01-31,3.590000,3.620000,3.560000,3.590000,3.590000,2995900
2006-02-01,3.570000,3.670000,3.570000,3.630000,3.630000,3115700
2006-02-02,3.630000,3.650000,3.570000,3.630000,3.630000,3461200
2006-02-03,3.630000,3.710000,3.620000,3.700000,3.700000,2369300
2006-02-06,3.670000,3.690000,3.560000,3.590000,3.590000,2536200
2006-02-07,3.570000,3.590000,3.530000,3.540000,3.540000,2435700
2006-02-08,3.550000,3.560000,3.500000,3.530000,3.530000,2408000
2006-02-09,3.520000,3.580000,3.520000,3.560000,3.560000,3097700
2006-02-10,3.540000,3.570000,3.520000,3.530000,3.530000,1885500
2006-02-13,3.520000,3.540000,3.490000,3.510000,3.510000,2343800
2006-02-14,3.510000,3.540000,3.490000,3.520000,3.520000,3563000
2006-02-15,3.500000,3.540000,3.490000,3.510000,3.510000,5257000
2006-02-16,3.510000,3.530000,3.490000,3.530000,3.530000,4482700
2006-02-17,3.520000,3.580000,3.500000,3.540000,3.540000,4430600
2006-02-21,3.520000,3.570000,3.510000,3.560000,3.560000,4875800
2006-02-22,3.600000,3.680000,3.580000,3.640000,3.640000,3411000
2006-02-23,3.750000,3.750000,3.610000,3.660000,3.660000,2991100
2006-02-24,3.650000,3.670000,3.620000,3.620000,3.620000,2060200
2006-02-27,3.600000,3.650000,3.590000,3.620000,3.620000,2018600
2006-02-28,3.620000,3.710000,3.620000,3.690000,3.690000,3569300
2006-03-01,3.930000,3.970000,3.830000,3.890000,3.890000,11560300
2006-03-02,4.070000,4.130000,4.000000,4.100000,4.100000,24637800
2006-03-03,4.110000,4.150000,4.070000,4.090000,4.090000,13180400
2006-03-06,4.120000,4.120000,4.020000,4.050000,4.050000,7197300
2006-03-07,4.080000,4.080000,3.980000,4.000000,4.000000,3959200
2006-03-08,3.920000,3.920000,3.810000,3.870000,3.870000,6673400
2006-03-09,4.000000,4.050000,3.940000,3.980000,3.980000,7219300
2006-03-10,4.000000,4.010000,3.970000,3.980000,3.980000,4156100
2006-03-13,3.980000,4.010000,3.960000,3.960000,3.960000,4699200
2006-03-14,3.950000,3.990000,3.910000,3.960000,3.960000,2829900
2006-03-15,3.980000,4.020000,3.900000,3.920000,3.920000,4143100
2006-03-16,3.920000,3.930000,3.880000,3.900000,3.900000,2914800
2006-03-17,3.900000,3.950000,3.870000,3.940000,3.940000,3072500
2006-03-20,3.940000,3.940000,3.850000,3.870000,3.870000,3106800
2006-03-21,3.860000,3.870000,3.780000,3.790000,3.790000,3774500
2006-03-22,3.790000,3.850000,3.760000,3.830000,3.830000,2211000
2006-03-23,3.840000,3.950000,3.800000,3.880000,3.880000,3970600
2006-03-24,3.850000,3.880000,3.830000,3.870000,3.870000,2049200
2006-03-27,3.910000,4.050000,3.900000,4.020000,4.020000,7640100
2006-03-28,4.020000,4.080000,3.960000,3.990000,3.990000,4720800
2006-03-29,4.010000,4.080000,4.000000,4.000000,4.000000,2478800
2006-03-30,4.010000,4.060000,3.980000,3.980000,3.980000,3376300
2006-03-31,3.980000,4.010000,3.950000,4.000000,4.000000,2779200
2006-04-03,4.010000,4.030000,3.900000,3.910000,3.910000,4965900
2006-04-04,3.980000,4.000000,3.940000,3.960000,3.960000,3600300
2006-04-05,3.960000,4.030000,3.950000,4.010000,4.010000,7548700
2006-04-06,4.000000,4.070000,3.900000,4.070000,4.070000,14096900
2006-04-07,4.080000,4.090000,4.000000,4.040000,4.040000,7191000
2006-04-10,4.270000,4.290000,4.160000,4.220000,4.220000,18711200
2006-04-11,4.250000,4.340000,4.220000,4.260000,4.260000,11836100
2006-04-12,4.330000,4.420000,4.290000,4.330000,4.330000,10215400
2006-04-13,4.330000,4.390000,4.310000,4.330000,4.330000,7921000
2006-04-17,4.350000,4.360000,4.140000,4.310000,4.310000,6912900
2006-04-18,4.290000,4.340000,4.250000,4.290000,4.290000,5170100
2006-04-19,4.280000,4.310000,4.240000,4.300000,4.300000,3915000
