Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,19.049999,19.120001,18.910000,18.980000,8.052007,433900
2006-01-04,18.980000,19.000000,18.660000,18.709999,7.937467,948500
2006-01-05,18.709999,18.709999,18.350000,18.400000,7.805949,1069000
2006-01-06,18.400000,18.400000,18.080000,18.180000,7.712615,1133200
2006-01-09,18.200001,18.219999,18.000000,18.129999,7.691407,1382700
2006-01-10,18.129999,18.200001,18.000000,18.129999,7.691407,992100
2006-01-11,18.090000,18.150000,17.980000,18.020000,7.644740,1395600
2006-01-12,18.120001,18.510000,18.100000,18.430000,7.818678,1290800
2006-01-13,18.959999,18.959999,18.240000,18.500000,7.848376,494700
2006-01-17,18.309999,18.420000,18.100000,18.170000,7.708373,899600
2006-01-18,18.170000,18.270000,18.010000,18.270000,7.750802,860900
2006-01-19,18.270000,18.400000,18.160000,18.320000,7.772014,796800
2006-01-20,18.320000,18.350000,18.129999,18.240000,7.738075,697300
2006-01-23,18.240000,18.270000,18.030001,18.129999,7.691407,580700
2006-01-24,18.129999,18.270000,18.040001,18.270000,7.750802,473200
2006-01-25,18.270000,18.400000,18.200001,18.350000,7.784738,712700
2006-01-26,18.420000,18.500000,18.200001,18.250000,7.742314,604700
2006-01-27,18.250000,18.340000,18.190001,18.219999,7.729586,672500
2006-01-30,18.150000,18.180000,17.980000,18.030001,7.648982,660000
2006-01-31,18.049999,18.530001,18.020000,18.510000,7.852615,1458300
2006-02-01,18.510000,18.650000,18.340000,18.379999,7.797466,648800
2006-02-02,18.299999,18.580000,18.260000,18.450001,7.827161,471300
2006-02-03,18.450001,18.500000,18.290001,18.320000,7.772014,521700
2006-02-06,18.299999,18.480000,18.139999,18.389999,7.801707,716100
2006-02-07,18.450001,18.850000,18.420000,18.490000,7.844130,1109600
2006-02-08,18.410000,18.540001,18.250000,18.430000,7.818678,491100
2006-02-09,18.400000,18.540001,18.350000,18.400000,7.805949,448100
