Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,6.810000,6.820000,6.450000,6.520000,6.324353,72062300
2006-01-04,6.450000,6.500000,6.280000,6.360000,6.169155,63817600
2006-01-05,6.450000,6.460000,6.350000,6.390000,6.198254,44321100
2006-01-06,6.500000,6.540000,6.400000,6.540000,6.343753,42477400
2006-01-09,6.750000,6.760000,6.540000,6.570000,6.372853,73075200
2006-01-10,6.600000,6.630000,6.450000,6.500000,6.304953,39217800
2006-01-11,6.430000,6.430000,6.040000,6.120000,5.936356,131332800
2006-01-12,6.030000,6.510000,5.910000,6.200000,6.013955,132392500
2006-01-13,6.350000,6.440000,6.250000,6.280000,6.091555,48235100
2006-01-17,6.300000,6.310000,6.200000,6.200000,6.013955,27465500
2006-01-18,6.090000,6.300000,6.050000,6.290000,6.101254,48562000
2006-01-19,6.330000,6.400000,6.260000,6.350000,6.159454,37029000
2006-01-20,6.400000,6.450000,6.250000,6.300000,6.110955,47089900
2006-01-23,6.230000,6.400000,6.090000,6.110000,5.926656,51719000
2006-01-24,6.150000,6.170000,5.860000,5.900000,5.722957,64876400
2006-01-25,5.930000,6.050000,5.830000,5.920000,5.742357,44950700
2006-01-26,5.960000,5.970000,5.790000,5.820000,5.645357,45521900
2006-01-27,5.750000,5.910000,5.720000,5.870000,5.693858,47561700
2006-01-30,5.880000,5.950000,5.830000,5.860000,5.684157,23921000
2006-01-31,5.850000,5.880000,5.660000,5.670000,5.499859,45256700
2006-02-01,5.630000,5.730000,5.510000,5.710000,5.538659,57251800
2006-02-02,5.680000,5.770000,5.530000,5.540000,5.373760,34466800
2006-02-03,5.540000,5.540000,5.230000,5.330000,5.170062,80135700
2006-02-06,5.490000,5.600000,5.410000,5.490000,5.325260,48594300
2006-02-07,5.520000,5.790000,5.460000,5.760000,5.587159,78858000
2006-02-08,5.980000,6.140000,5.900000,5.980000,5.800557,81518200
2006-02-09,6.060000,6.100000,5.740000,5.800000,5.625958,59198700
2006-02-10,5.890000,5.890000,5.720000,5.740000,5.567759,42083600
2006-02-13,5.750000,5.770000,5.600000,5.610000,5.441660,56884500
2006-02-14,5.670000,5.700000,5.550000,5.640000,5.470759,48569200
2006-02-15,5.700000,5.850000,5.660000,5.820000,5.645357,49283000
2006-02-16,5.650000,5.780000,5.610000,5.650000,5.480459,74177700
2006-02-17,5.470000,5.570000,5.250000,5.260000,5.102162,123349700
2006-02-21,5.310000,5.350000,5.100000,5.180000,5.024562,59616100
2006-02-22,5.210000,5.350000,5.200000,5.290000,5.131262,38423000
2006-02-23,5.270000,5.350000,5.210000,5.220000,5.063362,32840400
2006-02-24,5.220000,5.240000,5.130000,5.180000,5.024562,32616200
2006-02-27,5.180000,5.260000,5.150000,5.230000,5.073062,39323100
2006-02-28,5.200000,5.210000,5.080000,5.110000,4.956663,37162700
2006-03-01,4.980000,5.100000,4.860000,5.040000,4.888763,76205700
2006-03-02,5.120000,5.160000,5.060000,5.080000,4.927564,32177000
2006-03-03,5.050000,5.080000,5.000000,5.010000,4.859664,28765200
2006-03-06,5.020000,5.050000,4.890000,4.910000,4.762664,40620700
2006-03-07,4.970000,5.000000,4.870000,4.920000,4.772365,41555900
2006-03-08,4.910000,4.920000,4.700000,4.770000,4.626865,55704700
2006-03-09,4.910000,4.990000,4.840000,4.890000,4.743265,40924900
2006-03-10,4.930000,4.930000,4.760000,4.780000,4.636565,35107700
2006-03-13,4.790000,4.800000,4.540000,4.600000,4.461967,60706600
2006-03-14,4.530000,4.590000,4.360000,4.450000,4.316467,98531500
2006-03-15,4.450000,4.610000,4.410000,4.480000,4.345568,63099600
2006-03-16,4.510000,4.550000,4.480000,4.510000,4.374668,26736900
2006-03-17,4.650000,4.900000,4.590000,4.890000,4.743265,80961500
