Date,Open,High,Low,Close,Adj Close,Volume
2012-09-20,7.874840,8.132090,7.748850,7.874840,5.507479,31593700
2012-09-21,7.874840,8.048090,7.822340,7.990340,5.588257,4295800
2012-09-24,8.048090,8.126840,8.006090,8.058590,5.635991,3185700
2012-09-25,8.006090,8.084840,7.943090,8.006090,5.599272,2411000
2012-09-26,8.011340,8.132090,7.958840,8.132090,5.687393,1425100
2012-09-27,8.137340,8.142590,8.058590,8.100590,5.665362,2774100
2012-09-28,8.111090,8.163590,8.084840,8.137340,5.691064,2456200
2012-10-01,8.142590,8.342080,8.142590,8.221340,5.749813,1506600
2012-10-02,8.231840,8.336830,8.195090,8.305330,5.808554,1381900
2012-10-03,8.321080,8.473330,8.310580,8.394580,5.870973,1232700
2012-10-04,8.399830,8.478580,8.315830,8.399830,5.874645,1707800
2012-10-05,8.384080,8.788320,8.363080,8.557330,5.984797,2177300
2012-10-08,8.483830,8.714830,8.426080,8.578330,5.999484,901900
2012-10-09,8.583580,8.662330,8.504830,8.515330,5.955423,696900
2012-10-10,8.478580,8.620330,8.447080,8.557330,5.984797,469100
2012-10-11,8.583580,8.588830,8.504830,8.567830,5.992140,477500
2012-10-12,8.583580,8.583580,8.378830,8.462830,5.918705,899200
2012-10-15,8.452330,8.468080,8.310580,8.399830,5.874645,1175000
2012-10-16,8.399830,8.520580,8.357830,8.478580,5.929721,1120700
2012-10-17,8.504830,8.567830,8.384080,8.462830,5.918705,664000
2012-10-18,8.441830,8.609830,8.310580,8.609830,6.021513,858300
2012-10-19,8.567830,8.609830,8.410330,8.599330,6.014169,1214600
2012-10-22,8.567830,8.604580,8.436580,8.531080,5.966438,1005900
2012-10-23,8.531080,8.583580,8.326330,8.447080,5.907690,918300
2012-10-24,8.468080,8.468080,8.331580,8.431330,5.896674,573300
2012-10-25,8.384080,8.525830,8.384080,8.452330,5.911362,515600
2012-10-26,8.441830,8.468080,8.321080,8.399830,5.874645,371200
2012-10-31,8.399830,8.609830,8.326330,8.578330,5.999484,932300
2012-11-01,8.557330,8.704330,8.483830,8.683330,6.072918,1161500
2012-11-02,8.546830,8.772570,8.531080,8.772570,6.135330,1014100
2012-11-05,8.725330,8.767320,8.646580,8.751570,6.120643,467800
2012-11-06,8.741080,8.741080,8.609830,8.714830,6.094948,534400
2012-11-07,8.772570,8.772570,8.352580,8.609830,6.021513,837500
2012-11-08,8.567830,8.756820,8.473330,8.588830,6.006827,845100
2012-11-09,8.373580,8.515330,8.373580,8.499580,5.944407,1368700
2012-11-12,8.483830,8.667580,8.373580,8.536330,5.970109,308300
2012-11-13,8.478580,8.641330,8.478580,8.552080,5.981125,287200
2012-11-14,8.515330,8.620330,8.368330,8.394580,5.870973,667200
2012-11-15,8.394580,8.394580,8.111090,8.231840,5.757157,1086400
2012-11-16,8.279080,8.357830,8.226590,8.279080,5.790195,1141100
2012-11-19,8.347330,8.347330,8.237090,8.294830,5.801211,934600
2012-11-20,8.273830,8.357830,8.242340,8.305330,5.808554,1037300
2012-11-21,8.268580,8.331580,8.153090,8.289580,5.797539,1681900
2012-11-23,8.174090,8.468080,8.174090,8.384080,5.863630,257500
2012-11-26,8.174090,8.420830,8.174090,8.420830,5.889331,627000
2012-11-27,8.389330,8.462830,8.347330,8.347330,5.837927,518600
2012-11-28,8.294830,8.410330,8.263330,8.410330,5.881987,856500
2012-11-29,8.457580,8.541580,8.347330,8.531080,5.966438,505500
2012-11-30,8.489080,8.557330,8.410330,8.520580,5.959094,688200
2012-12-03,8.588830,8.625580,8.357830,8.426080,5.893003,984200
2012-12-04,8.489080,8.583580,8.300080,8.405080,5.878315,671600
2012-12-05,8.415580,8.583580,8.342080,8.452330,5.911362,486200
2012-12-06,8.436580,8.515330,8.436580,8.489080,5.937065,531400
2012-12-07,8.515330,8.615080,8.483830,8.609830,6.021513,639000
2012-12-10,8.620330,8.704330,8.546830,8.588830,6.006827,419200
2012-12-11,8.557330,8.662330,8.478580,8.552080,5.981125,914600
2012-12-12,8.541580,8.678080,8.520580,8.552080,5.981125,1096200
2012-12-13,8.657080,8.877570,8.588830,8.704330,6.087604,658400
2012-12-14,8.714830,8.914320,8.709580,8.819820,6.168375,782600
2012-12-17,8.777820,8.867070,8.767320,8.830320,6.175719,754400
2012-12-18,8.767320,9.008820,8.767320,8.835570,6.179391,1724200
2012-12-19,8.819820,8.951070,8.819820,8.898570,6.223453,1298800
2012-12-20,8.898570,8.935320,8.846070,8.914320,6.234467,955600
2012-12-21,8.872320,9.066570,8.788320,9.061320,6.337276,8925100
2012-12-24,9.035070,9.066570,8.840820,9.050820,6.329932,695200
2012-12-26,9.103320,9.208320,8.924820,9.161070,6.407038,603800
2012-12-27,8.977320,9.224070,8.977320,9.192570,6.554141,914100
2012-12-28,9.150570,9.318560,9.129570,9.245070,6.591572,624200
2012-12-31,9.276560,9.397310,9.192570,9.334310,6.655200,1062800
2013-01-02,9.518060,9.518060,9.187320,9.323810,6.647711,1594500
2013-01-03,9.365810,9.455060,9.176820,9.250310,6.595308,557100
2013-01-04,9.297560,9.444560,9.250310,9.360560,6.673915,799800
2013-01-07,9.329060,9.491810,9.218820,9.397310,6.700116,582100
2013-01-08,9.145320,9.360560,9.056070,9.292310,6.625254,1266800
2013-01-09,9.339560,9.413060,9.313310,9.339560,6.658941,736000
2013-01-10,9.392060,9.397310,9.239820,9.344810,6.662684,649100
2013-01-11,9.344810,9.355310,9.166320,9.313310,6.640226,383800
2013-01-14,9.297560,9.434060,9.297560,9.423560,6.718832,382800
2013-01-15,9.439310,9.439310,9.297560,9.423560,6.718832,229700
2013-01-16,9.423560,9.434060,9.245070,9.323810,6.647711,676200
2013-01-17,9.329060,9.402560,9.255560,9.381560,6.688888,405100
2013-01-18,9.360560,9.423560,9.292310,9.355310,6.670171,501700
2013-01-22,9.449810,10.169050,9.140070,10.001050,7.130571,4987500
2013-01-23,9.974800,10.274040,9.938050,10.242550,7.302758,1930700
2013-01-24,10.232050,10.242550,10.100800,10.195300,7.269070,1144900
2013-01-25,10.211050,10.268790,10.100800,10.253040,7.310238,560200
2013-01-28,10.237300,10.594290,10.174300,10.484040,7.474935,1180700
2013-01-29,10.478790,10.578540,10.373790,10.484040,7.474935,871000
2013-01-30,10.526040,10.526040,10.237300,10.247800,7.306502,1734300
2013-01-31,10.184800,10.373790,10.069300,10.216300,7.284042,2192200
2013-02-01,10.295040,10.473540,10.211050,10.358040,7.385100,1358800
2013-02-04,10.326540,10.452540,10.316040,10.389540,7.407558,563800
2013-02-05,10.405290,10.447290,10.295040,10.447290,7.448734,507800
2013-02-06,10.415790,10.447290,10.316040,10.410540,7.422530,345700
2013-02-07,10.363290,10.526040,10.258290,10.510290,7.493653,505700
2013-02-08,10.531290,10.631040,10.531290,10.557540,7.527340,324700
2013-02-11,10.358040,10.541790,10.106050,10.536540,7.512368,810800
2013-02-12,10.531290,10.531290,10.384290,10.484040,7.474935,1013300
2013-02-13,10.510290,10.573290,10.431540,10.568040,7.534826,435200
2013-02-14,10.515540,10.778030,10.499790,10.536540,7.512368,468500
2013-02-15,10.531290,10.536540,10.415790,10.520790,7.501138,467400
2013-02-19,10.499790,10.641540,10.400040,10.599540,7.557284,513700
2013-02-20,10.652040,10.730790,10.494540,10.494540,7.482423,503600
2013-02-21,10.499790,10.552290,10.431540,10.452540,7.452478,535400
2013-02-22,10.510290,10.725540,10.489290,10.583790,7.546054,846400
2013-02-25,10.594290,10.594290,10.436790,10.442040,7.444991,397700
2013-02-26,10.463040,10.715040,10.426290,10.562790,7.531083,952400
2013-02-27,10.536540,10.678290,10.431540,10.578540,7.542312,575200
2013-02-28,10.715040,10.715040,10.373790,10.457790,7.456220,721900
2013-03-01,10.463040,10.599540,10.442040,10.499790,7.486166,519200
2013-03-04,10.436790,10.526040,10.342290,10.363290,7.388843,846800
2013-03-05,10.421040,10.531290,10.421040,10.489290,7.478679,459400
2013-03-06,10.505040,10.536540,10.368540,10.463040,7.459963,263000
2013-03-07,10.505040,10.526040,10.405290,10.415790,7.426275,213900
2013-03-08,10.473540,10.473540,10.111300,10.347540,7.377612,496500
2013-03-11,10.384290,10.463040,10.184800,10.205800,7.276555,701700
2013-03-12,10.211050,10.489290,10.211050,10.452540,7.452478,510400
2013-03-13,10.452540,10.452540,10.190050,10.405290,7.418787,583400
2013-03-14,10.384290,10.426290,10.226800,10.358040,7.385100,557500
2013-03-15,10.389540,10.457790,10.284540,10.289790,7.336440,1054100
2013-03-18,10.232050,10.389540,10.232050,10.342290,7.373870,372000
2013-03-19,10.363290,10.379040,10.216300,10.258290,7.313981,514800
2013-03-20,10.184800,10.373790,10.137550,10.268790,7.321467,641500
2013-03-21,10.242550,10.384290,10.211050,10.331790,7.366385,430200
2013-03-22,10.384290,10.426290,10.079800,10.148050,7.235381,2205700
2013-03-25,10.200550,10.200550,9.985300,10.064050,7.175490,4317800
2013-03-26,10.111300,10.216300,9.974800,10.032550,7.153030,3183100
2013-03-27,9.785800,9.932800,9.675560,9.859300,7.146557,4538900
2013-03-28,9.890800,9.995800,9.817300,9.974800,7.230279,5535500
2013-04-01,10.001050,10.037800,9.885550,9.969550,7.226474,1965500
2013-04-02,10.032550,10.048300,9.948550,10.032550,7.272140,2888400
2013-04-03,10.069300,10.090300,9.969550,9.980050,7.234084,1168000
2013-04-04,9.980050,10.079800,9.964300,10.016800,7.260724,1017300
2013-04-05,9.948550,10.279290,9.948550,10.211050,7.401525,2183200
2013-04-08,10.221550,10.268790,10.106050,10.247800,7.428163,1892600
2013-04-09,10.284540,10.363290,10.258290,10.268790,7.443379,1524600
2013-04-10,10.300290,10.352790,10.274040,10.295040,7.462406,2455000
2013-04-11,10.321290,10.489290,10.310790,10.452540,7.576572,1668700
2013-04-12,10.442040,10.673040,10.442040,10.594290,7.679319,2007400
2013-04-15,10.541790,10.720290,10.415790,10.552290,7.648875,1651200
2013-04-16,10.573290,10.767530,10.536540,10.757030,7.797282,1728400
2013-04-17,10.704540,10.704540,10.536540,10.631040,7.705958,1548900
2013-04-18,10.583790,10.667790,10.463040,10.578540,7.667902,1144900
2013-04-19,10.615290,10.741290,10.594290,10.725540,7.774457,1051800
2013-04-22,10.757030,10.919780,10.709790,10.862030,7.873393,1115000
2013-04-23,10.930280,10.961780,10.799030,10.825280,7.846753,693300
2013-04-24,10.788530,11.024780,10.788530,10.914530,7.911447,974300
2013-04-25,10.961780,10.967030,10.872530,10.904030,7.903836,474100
2013-04-26,10.862030,11.066780,10.793780,11.045780,8.006584,1087600
2013-04-29,11.040530,11.271520,11.014280,11.150780,8.082693,1294800
2013-04-30,11.187530,11.339770,11.187530,11.303020,8.193044,1403800
