Date,Open,High,Low,Close,Adj Close,Volume
2011-10-04,4.936250,5.262500,4.912500,5.262500,5.262500,162400
2011-10-05,5.441250,5.705000,5.431250,5.673750,5.673750,71200
2011-10-06,5.678750,5.791250,5.600000,5.791250,5.791250,44800
2011-10-07,5.898750,5.898750,5.597500,5.836250,5.836250,145600
2011-10-10,5.937500,6.075000,5.925000,6.075000,6.075000,120000
2011-10-11,6.031250,6.206250,6.030000,6.157500,6.157500,131200
2011-10-12,6.395000,6.687500,6.375000,6.586250,6.586250,110400
2011-10-13,6.500000,6.533750,6.367500,6.533750,6.533750,116800
2011-10-14,6.923750,6.972500,6.751250,6.968750,6.968750,105600
2011-10-17,6.862500,6.863750,6.202500,6.202500,6.202500,84800
2011-10-18,6.187500,6.533750,6.036250,6.417500,6.417500,83200
2011-10-19,6.472500,6.476250,5.901250,5.990000,5.990000,158400
2011-10-20,5.956250,5.956250,5.731250,5.938750,5.938750,82400
2011-10-21,6.160000,6.231250,6.082500,6.231250,6.231250,60000
2011-10-24,6.367500,6.632500,6.367500,6.632500,6.632500,82400
2011-10-25,6.528750,6.528750,6.181250,6.182500,6.182500,147200
2011-10-26,6.412500,6.438750,6.105000,6.390000,6.390000,179200
2011-10-27,7.087500,7.318750,6.956250,7.228750,7.228750,255200
2011-10-28,7.103750,7.347500,7.072500,7.347500,7.347500,184800
2011-10-31,6.970000,7.020000,6.555000,6.555000,6.555000,381600
2011-11-01,5.550000,5.816250,5.383750,5.578750,5.578750,1083200
2011-11-02,5.808750,5.810000,5.585000,5.763750,5.763750,177600
2011-11-03,5.930000,6.055000,5.578750,6.045000,6.045000,497600
2011-11-04,5.881250,6.025000,5.691250,5.926250,5.926250,428800
2011-11-07,5.878750,5.970000,5.752500,5.965000,5.965000,164800
2011-11-08,6.056250,6.251250,5.883750,6.251250,6.251250,293600
2011-11-09,5.776250,5.828750,5.027500,5.052500,5.052500,554400
2011-11-10,5.342500,5.375000,5.090000,5.362500,5.362500,391200
2011-11-11,5.575000,5.653750,5.553750,5.593750,5.593750,589600
2011-11-14,5.517500,5.518750,5.357500,5.455000,5.455000,204000
2011-11-15,5.356250,5.555000,5.313750,5.511250,5.511250,966400
2011-11-16,5.333750,5.535000,5.218750,5.248750,5.248750,699200
2011-11-17,5.196250,5.233750,4.896250,4.996250,4.996250,1687200
2011-11-18,5.125000,5.162500,4.993750,5.156250,5.156250,1727200
2011-11-21,4.883750,5.128750,4.875000,5.105000,5.105000,949600
2011-11-22,5.053750,5.213750,5.030000,5.208750,5.208750,831200
2011-11-23,5.095000,5.117500,4.962500,4.972500,4.972500,1167200
2011-11-25,4.967500,5.050000,4.890000,4.906250,4.906250,276800
2011-11-28,5.228750,5.245000,5.082500,5.126250,5.126250,588000
2011-11-29,5.177500,5.258750,5.111250,5.222500,5.222500,543200
2011-11-30,5.577500,5.702500,5.537500,5.702500,5.702500,707200
2011-12-01,5.692500,5.868750,5.678750,5.818750,5.818750,900800
2011-12-02,5.990000,6.086250,5.840000,5.845000,5.845000,747200
2011-12-05,6.061250,6.076250,5.802500,5.852500,5.852500,455200
2011-12-06,5.848750,5.953750,5.826250,5.876250,5.876250,381600
2011-12-07,5.807500,5.807500,5.556250,5.695000,5.695000,647200
2011-12-08,5.537500,5.585000,5.381250,5.435000,5.435000,742400
2011-12-09,5.498750,5.815000,5.498750,5.807500,5.807500,926400
2011-12-12,5.670000,5.765000,5.553750,5.765000,5.765000,948000
2011-12-13,5.933750,6.013750,5.686250,5.777500,5.777500,1096800
2011-12-14,5.787500,5.877500,5.666250,5.780000,5.780000,1020000
2011-12-15,6.007500,6.070000,5.930000,5.995000,5.995000,818400
2011-12-16,6.196250,6.202500,5.962500,6.043750,6.043750,624800
2011-12-19,6.097500,6.222500,6.046250,6.087500,6.087500,628000
2011-12-20,6.370000,6.486250,6.320000,6.465000,6.465000,1179200
2011-12-21,6.555000,6.915000,6.431250,6.905000,6.905000,1045600
2011-12-22,7.056250,7.187500,6.802500,6.872500,6.872500,962400
2011-12-23,6.963750,6.981250,6.662500,6.712500,6.712500,392800
2011-12-27,6.703750,6.821250,6.703750,6.753750,6.753750,302400
2011-12-28,6.797500,6.797500,6.465000,6.465000,6.465000,104000
2011-12-29,6.576250,6.643750,6.570000,6.628750,6.628750,68000
2011-12-30,6.637500,6.660000,6.535000,6.535000,6.535000,105600
2012-01-03,6.827500,6.900000,6.796250,6.861250,6.861250,210400
2012-01-04,6.786250,6.993750,6.702500,6.988750,6.988750,169600
2012-01-05,6.848750,7.153750,6.823750,7.153750,7.153750,137600
2012-01-06,7.208750,7.332500,7.073750,7.270000,7.270000,153600
2012-01-09,7.328750,7.392500,7.277500,7.370000,7.370000,56800
2012-01-10,7.580000,7.648750,7.501250,7.512500,7.512500,118400
2012-01-11,7.438750,7.458750,7.373750,7.385000,7.385000,139200
2012-01-12,7.421250,7.503750,7.160000,7.487500,7.487500,106400
2012-01-13,7.293750,7.310000,7.071250,7.297500,7.297500,224800
2012-01-17,7.548750,7.660000,7.325000,7.358750,7.358750,491200
2012-01-18,7.395000,7.630000,7.338750,7.622500,7.622500,236000
2012-01-19,7.742500,7.831250,7.672500,7.831250,7.831250,210400
2012-01-20,7.783750,8.067500,7.770000,8.066250,8.066250,248000
2012-01-23,8.076250,8.311250,8.071250,8.267500,8.267500,1169600
2012-01-24,8.055000,8.273750,8.033750,8.226250,8.226250,757600
2012-01-25,8.222500,8.613750,8.157500,8.597500,8.597500,358400
2012-01-26,8.791250,8.791250,8.457500,8.562500,8.562500,153600
2012-01-27,8.455000,8.778750,8.455000,8.777500,8.777500,34400
2012-01-30,8.403750,8.590000,8.388750,8.500000,8.500000,531200
2012-01-31,8.708750,8.737500,8.415000,8.515000,8.515000,137600
2012-02-01,8.681250,8.808750,8.636250,8.731250,8.731250,98400
2012-02-02,8.882500,8.995000,8.855000,8.995000,8.995000,68800
2012-02-03,9.368750,9.477500,9.277500,9.477500,9.477500,720800
2012-02-06,9.411250,9.581250,9.362500,9.571250,9.571250,221600
2012-02-07,9.566250,9.571250,9.368750,9.501250,9.501250,345600
2012-02-08,9.518750,9.540000,9.235000,9.296250,9.296250,400000
2012-02-09,9.237500,9.240000,8.823750,8.823750,8.823750,176800
2012-02-10,8.340000,8.437500,7.590000,8.027500,8.027500,791200
2012-02-13,8.535000,8.710000,8.421250,8.710000,8.710000,220800
2012-02-14,8.562500,8.562500,7.878750,8.416250,8.416250,1400800
2012-02-15,8.258750,8.316250,7.885000,7.923750,7.923750,1961600
2012-02-16,7.750000,8.227500,7.618750,8.212500,8.212500,1170400
2012-02-17,8.342500,8.428750,8.125000,8.335000,8.335000,478400
2012-02-21,8.433750,8.433750,8.222500,8.341250,8.341250,210400
2012-02-22,8.293750,8.590000,8.293750,8.558750,8.558750,774400
2012-02-23,8.570000,9.151250,8.530000,9.125000,9.125000,392000
2012-02-24,9.278750,9.311250,8.732500,8.776250,8.776250,384000
2012-02-27,8.475000,8.972500,8.451250,8.706250,8.706250,299200
2012-02-28,8.607500,8.830000,8.580000,8.795000,8.795000,224800
2012-02-29,8.948750,9.115000,8.740000,8.932500,8.932500,1027200
2012-03-01,9.012500,9.156250,8.972500,9.106250,9.106250,832000
2012-03-02,9.117500,9.168750,8.957500,9.045000,9.045000,1094400
2012-03-05,8.970000,9.112500,8.881250,9.062500,9.062500,1298400
2012-03-06,8.476250,8.667500,8.276250,8.351250,8.351250,1982400
2012-03-07,8.455000,8.768750,8.405000,8.756250,8.756250,1876000
2012-03-08,8.963750,9.142500,8.931250,9.090000,9.090000,1002400
2012-03-09,9.213750,9.450000,9.205000,9.272500,9.272500,1170400
2012-03-12,9.393750,9.725000,9.373750,9.692500,9.692500,1580800
2012-03-13,9.980000,10.212500,9.897500,10.150000,10.150000,1924800
2012-03-14,10.212500,10.233750,9.545000,9.798750,9.798750,1841600
2012-03-15,9.696250,9.942500,9.613750,9.927500,9.927500,1764000
2012-03-16,9.990000,10.081250,9.850000,9.955000,9.955000,1118400
2012-03-19,10.027500,10.625000,9.980000,10.566250,10.566250,1947200
2012-03-20,10.287500,11.042500,10.205000,11.042500,11.042500,2720800
2012-03-21,11.257500,11.707500,11.107500,11.575000,11.575000,1013600
2012-03-22,11.055000,11.561250,10.836250,11.417500,11.417500,2808800
2012-03-23,11.507500,12.276250,11.308750,12.215000,12.215000,2283200
2012-03-26,12.687500,13.438750,12.683750,13.376250,13.376250,2321600
2012-03-27,13.123750,13.202500,11.998750,12.061250,12.061250,2680000
2012-03-28,12.026250,12.203750,10.877500,11.908750,11.908750,3420800
2012-03-29,11.190000,12.088750,11.187500,11.981250,11.981250,4535200
2012-03-30,12.485000,12.485000,11.993750,12.266250,12.266250,2100800
2012-04-02,12.163750,12.715000,12.152500,12.276250,12.276250,1370400
2012-04-03,12.346250,12.435000,11.706250,12.058750,12.058750,1470400
2012-04-04,11.443750,11.891250,11.162500,11.775000,11.775000,1706400
2012-04-05,11.495000,11.823750,11.435000,11.506250,11.506250,1119200
2012-04-09,10.841250,11.256250,10.806250,10.806250,10.806250,1599200
2012-04-10,10.745000,10.890000,9.921250,9.928750,9.928750,3101600
2012-04-11,10.456250,10.558750,10.137500,10.176250,10.176250,2422400
2012-04-12,10.328750,11.112500,10.275000,11.072500,11.072500,2169600
2012-04-13,11.075000,11.085000,10.237500,10.387500,10.387500,3493600
2012-04-16,10.753750,10.851250,10.267500,10.550000,10.550000,2366400
2012-04-17,10.913750,11.252500,10.887500,11.125000,11.125000,2501600
2012-04-18,11.005000,11.237500,10.802500,10.926250,10.926250,2022400
2012-04-19,10.971250,11.188750,10.535000,10.845000,10.845000,2418400
2012-04-20,11.082500,11.312500,11.080000,11.198750,11.198750,1588000
2012-04-23,10.631250,10.882500,10.386250,10.835000,10.835000,1666400
2012-04-24,10.868750,11.077500,10.800000,11.077500,11.077500,962400
2012-04-25,11.535000,11.792500,11.285000,11.770000,11.770000,1524000
2012-04-26,11.743750,12.271250,11.683750,12.167500,12.167500,880000
2012-04-27,12.237500,12.310000,11.977500,12.195000,12.195000,539200
2012-04-30,12.047500,12.118750,11.855000,11.921250,11.921250,792000
2012-05-01,11.953750,12.421250,11.915000,12.275000,12.275000,841600
2012-05-02,12.025000,12.295000,11.915000,12.185000,12.185000,672000
2012-05-03,12.293750,12.368750,11.790000,11.926250,11.926250,360000
2012-05-04,11.810000,11.820000,11.208750,11.392500,11.392500,1464800
2012-05-07,11.128750,11.665000,11.070000,11.552500,11.552500,952000
2012-05-08,11.307500,11.502500,10.705000,11.455000,11.455000,2132800
2012-05-09,10.885000,11.342500,10.670000,11.000000,11.000000,2953600
2012-05-10,11.315000,11.480000,11.186250,11.352500,11.352500,1551200
2012-05-11,11.045000,11.530000,11.012500,11.170000,11.170000,1088000
2012-05-14,10.695000,10.827500,10.486250,10.510000,10.510000,2299200
2012-05-15,10.450000,10.638750,9.955000,10.000000,10.000000,2112000
2012-05-16,10.126250,10.290000,9.603750,9.627500,9.627500,2184800
2012-05-17,9.716250,9.820000,9.165000,9.165000,9.165000,1665600
2012-05-18,9.215000,9.261250,8.405000,8.550000,8.550000,3050400
2012-05-21,8.590000,9.476250,8.475000,9.476250,9.476250,3096800
2012-05-22,9.590000,9.986250,8.805000,9.095000,9.095000,4504800
2012-05-23,8.885000,9.372500,8.593750,9.270000,9.270000,5280000
2012-05-24,9.360000,9.390000,8.855000,9.187500,9.187500,2651200
2012-05-25,9.215000,9.351250,9.155000,9.303750,9.303750,1385600
2012-05-29,9.565000,9.787500,9.406250,9.727500,9.727500,1484800
2012-05-30,9.467500,9.467500,9.072500,9.072500,9.072500,1566400
2012-05-31,8.957500,9.201250,8.500000,8.900000,8.900000,5666400
2012-06-01,8.247500,8.493750,8.142500,8.163750,8.163750,4696000
2012-06-04,8.341250,8.515000,8.058750,8.513750,8.513750,3748800
2012-06-05,8.410000,8.738750,8.408750,8.675000,8.675000,2571200
2012-06-06,8.957500,9.326250,8.888750,9.317500,9.317500,4217600
2012-06-07,9.745000,9.790000,9.356250,9.413750,9.413750,3388800
2012-06-08,9.343750,9.931250,9.303750,9.916250,9.916250,2825600
2012-06-11,10.281250,10.333750,9.017500,9.055000,9.055000,4374400
2012-06-12,9.078750,9.227500,8.783750,9.170000,9.170000,4312000
2012-06-13,8.932500,9.188750,8.537500,8.691250,8.691250,3388000
2012-06-14,8.761250,9.248750,8.625000,9.248750,9.248750,4307200
2012-06-15,9.306250,9.743750,9.187500,9.615000,9.615000,2681600
2012-06-18,9.678750,10.467500,9.581250,10.433750,10.433750,4520000
2012-06-19,10.792500,10.840000,10.463750,10.620000,10.620000,2741600
2012-06-20,10.626250,11.061250,10.228750,11.061250,11.061250,3924800
2012-06-21,11.026250,11.142500,9.730000,9.730000,9.730000,3211200
2012-06-22,10.113750,10.827500,9.935000,10.760000,10.760000,2529600
2012-06-25,10.110000,10.178750,9.871250,9.966250,9.966250,4256800
2012-06-26,10.282500,10.416250,9.887500,10.290000,10.290000,3820800
2012-06-27,10.435000,10.582500,10.190000,10.195000,10.195000,2592000
2012-06-28,10.081250,10.546250,9.900000,10.517500,10.517500,2498400
2012-06-29,11.138750,11.287500,10.987500,11.228750,11.228750,4128000
2012-07-02,11.455000,11.981250,11.322500,11.938750,11.938750,2507200
2012-07-03,12.011250,12.356250,11.995000,12.178750,12.178750,1488000
2012-07-05,12.106250,12.106250,11.576250,11.730000,11.730000,2100000
2012-07-06,11.378750,11.862500,11.367500,11.811250,11.811250,1902400
2012-07-09,11.915000,12.055000,11.647500,11.930000,11.930000,1779200
