Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,8.848000,9.182000,8.830000,9.164000,5.794118,2352500
2006-01-04,9.180000,9.404000,9.180000,9.316000,5.890223,2033500
2006-01-05,9.410000,9.506000,9.366000,9.430000,5.962301,2925500
2006-01-06,9.450000,9.472000,9.390000,9.456000,5.978741,1738500
2006-01-09,9.580000,9.588000,9.328000,9.444000,5.971153,2161500
2006-01-10,9.444000,9.456000,9.320000,9.340000,5.905398,2400500
2006-01-11,9.390000,9.744000,9.382000,9.630000,6.088756,5065500
2006-01-12,9.780000,9.790000,9.594000,9.712000,6.140600,3239500
2006-01-13,10.200000,10.200000,9.728000,9.884000,6.249352,4663500
2006-01-17,9.880000,9.882000,9.500000,9.640000,6.095079,6309500
2006-01-18,9.500000,9.570000,9.300000,9.430000,5.962301,5380000
2006-01-19,9.550000,9.836000,9.550000,9.802000,6.197506,4099500
2006-01-20,9.900000,9.900000,9.566000,9.698000,6.131748,5133000
2006-01-23,9.698000,9.750000,9.512000,9.738000,6.157041,3038500
2006-01-24,9.780000,9.898000,9.710000,9.778000,6.182331,2772500
2006-01-25,9.850000,9.870000,9.554000,9.606000,6.073581,4245000
2006-01-26,9.620000,9.626000,9.360000,9.490000,6.000237,4559000
2006-01-27,9.520000,9.574000,9.300000,9.364000,5.920572,4202500
2006-01-30,9.100000,9.304000,9.098000,9.200000,5.816879,4116000
2006-01-31,9.230000,9.420000,9.196000,9.360000,5.918041,4583500
2006-02-01,9.396000,9.484000,9.358000,9.414000,5.952184,1556000
2006-02-02,9.414000,9.504000,9.276000,9.470000,5.987592,3193500
2006-02-03,9.380000,9.390000,9.200000,9.264000,5.857344,2841500
2006-02-06,9.330000,9.380000,9.268000,9.292000,5.875048,2237000
2006-02-07,9.366000,9.368000,9.092000,9.182000,5.805498,3358000
2006-02-08,9.110000,9.150000,8.950000,9.098000,5.752388,4741500
2006-02-09,9.098000,9.254000,8.968000,8.972000,5.672722,5040000
2006-02-10,8.910000,8.994000,8.842000,8.948000,5.657547,4119000
2006-02-13,9.250000,9.260000,8.848000,8.880000,5.614552,4303500
2006-02-14,8.880000,8.892000,8.620000,8.820000,5.576617,7272500
2006-02-15,8.850000,9.270000,8.840000,9.070000,5.734685,5742000
2006-02-16,9.080000,9.240000,9.074000,9.192000,5.811823,2159000
2006-02-17,9.152000,9.350000,9.116000,9.116000,5.763769,3148000
2006-02-21,9.052000,9.118000,8.966000,9.000000,5.690424,4228000
2006-02-22,9.040000,9.212000,8.908000,8.990000,5.684103,3423000
2006-02-23,8.950000,9.098000,8.950000,9.030000,5.709394,1806000
2006-02-24,9.080000,9.110000,8.910000,9.034000,5.711923,1193500
2006-02-27,9.020000,9.096000,9.012000,9.040000,5.715717,1421000
2006-02-28,9.058000,9.060000,8.800000,8.800000,5.563972,4100000
2006-03-01,8.822000,8.960000,8.822000,8.934000,5.648695,2122000
2006-03-02,8.950000,9.068000,8.926000,8.992000,5.685367,2956000
2006-03-03,8.998000,9.010000,8.800000,8.856000,5.599379,4187000
2006-03-06,8.860000,8.962000,8.820000,8.898000,5.625934,2446500
2006-03-07,8.800000,8.802000,8.616000,8.774000,5.547533,5364500
2006-03-08,8.700000,8.702000,8.462000,8.594000,5.433725,7016500
2006-03-09,8.590000,8.650000,8.462000,8.492000,5.369233,2385500
2006-03-10,8.508000,8.580000,8.326000,8.360000,5.285773,5546000
2006-03-13,8.440000,8.562000,8.428000,8.440000,5.336354,6363000
2006-03-14,8.548000,8.632000,8.382000,8.506000,5.378084,7044500
2006-03-15,8.390000,8.514000,8.328000,8.430000,5.330032,6694000
2006-03-16,8.416000,8.490000,8.372000,8.436000,5.333826,7159500
2006-03-17,8.510000,8.604000,8.490000,8.580000,5.424872,4241000
2006-03-20,8.720000,9.276000,8.720000,9.078000,5.739743,12082000
2006-03-21,9.120000,9.170000,8.980000,9.002000,5.691690,3877500
2006-03-22,9.050000,9.160000,9.022000,9.096000,5.751122,2677000
2006-03-23,9.106000,9.224000,9.096000,9.188000,5.809293,2234000
2006-03-24,9.100000,9.170000,8.952000,9.074000,5.737214,4002000
2006-03-27,9.030000,9.052000,8.794000,8.918000,5.638580,8221000
2006-03-28,8.770000,8.780000,8.534000,8.610000,5.443840,6096000
2006-03-29,8.612000,8.642000,8.506000,8.590000,5.431195,4004500
2006-03-30,8.590000,8.680000,8.476000,8.576000,5.422344,2395500
2006-03-31,8.588000,8.602000,8.516000,8.602000,5.438783,4567000
2006-04-03,8.644000,8.760000,8.614000,8.648000,5.467866,3726500
2006-04-04,8.648000,8.700000,8.588000,8.606000,5.441312,1836500
2006-04-05,8.586000,8.718000,8.574000,8.600000,5.437518,5311500
2006-04-06,8.600000,8.720000,8.504000,8.666000,5.479248,2734000
2006-04-07,8.750000,9.000000,8.726000,8.852000,5.596849,4853000
2006-04-10,8.900000,9.026000,8.856000,8.918000,5.638580,4015000
2006-04-11,8.920000,8.920000,8.776000,8.846000,5.593055,4157000
2006-04-12,8.866000,9.082000,8.866000,8.980000,5.677779,3493500
2006-04-13,8.980000,9.050000,8.872000,9.024000,5.705599,1675500
2006-04-17,9.024000,9.136000,8.920000,9.002000,5.691690,2713000
2006-04-18,9.200000,9.230000,9.088000,9.120000,5.766298,2740000
2006-04-19,9.200000,9.340000,9.140000,9.318000,5.891487,4695000
2006-04-20,9.474000,9.486000,9.330000,9.418000,5.954714,3618500
2006-04-21,9.476000,9.486000,9.290000,9.354000,5.914250,6900000
2006-04-24,9.400000,9.434000,9.334000,9.390000,5.937010,5435000
2006-04-25,9.384000,9.420000,9.308000,9.376000,5.928159,1766500
2006-04-26,9.420000,9.548000,9.358000,9.360000,5.918041,3103000
2006-04-27,9.262000,9.330000,9.140000,9.224000,5.832054,4509000
2006-04-28,9.300000,9.352000,9.274000,9.310000,5.886429,4030500
2006-05-01,9.318000,9.390000,9.318000,9.336000,5.902868,2159000
2006-05-02,9.320000,9.402000,9.292000,9.318000,5.891487,4071500
2006-05-03,9.340000,9.342000,9.150000,9.200000,5.816879,2187500
2006-05-04,9.260000,9.698000,9.260000,9.578000,6.055878,8327500
2006-05-05,9.946000,9.982000,9.792000,9.912000,6.267056,7769000
2006-05-08,9.994000,10.162000,9.974000,10.102000,6.387187,4912000
2006-05-09,10.142000,10.220000,10.030000,10.182000,6.437768,3595500
2006-05-10,10.176000,10.184000,9.880000,9.966000,6.301198,6984000
2006-05-11,10.080000,10.130000,9.832000,9.862000,6.235442,4372000
2006-05-12,9.880000,9.886000,9.446000,9.700000,6.133013,4690500
2006-05-15,9.300000,9.430000,9.192000,9.350000,5.911720,6074000
2006-05-16,9.344000,9.448000,9.286000,9.330000,5.899076,3022000
2006-05-17,9.292000,9.294000,8.772000,8.890000,5.620876,9023500
2006-05-18,8.892000,8.940000,8.602000,8.640000,5.462809,7571000
2006-05-19,8.500000,8.600000,8.194000,8.548000,5.404639,9664000
2006-05-22,8.240000,8.338000,7.614000,7.718000,4.879856,15646500
2006-05-23,8.344000,8.402000,7.934000,7.956000,5.030337,9163500
2006-05-24,7.900000,7.900000,7.500000,7.738000,4.892501,8357500
2006-05-25,8.040000,8.188000,7.894000,8.176000,5.169435,4421000
2006-05-26,8.200000,8.684000,8.200000,8.552000,5.407169,11509000
2006-05-30,8.556000,8.600000,8.222000,8.252000,5.217487,4857500
2006-05-31,8.250000,8.392000,8.140000,8.372000,5.293360,6651500
2006-06-01,8.586000,8.860000,8.482000,8.762000,5.539946,8172500
2006-06-02,8.896000,9.606000,8.744000,9.600000,6.069788,19077500
2006-06-05,9.600000,9.648000,9.424000,9.476000,5.991385,19992000
2006-06-06,9.380000,9.390000,9.040000,9.126000,5.770092,16794000
2006-06-07,8.860000,9.178000,8.860000,9.060000,5.728362,7071500
2006-06-08,8.780000,8.820000,8.500000,8.772000,5.546268,10216000
2006-06-09,8.770000,8.820000,8.646000,8.722000,5.514654,5426000
2006-06-12,8.720000,8.720000,8.390000,8.400000,5.311062,5811000
2006-06-13,8.100000,8.258000,7.986000,8.050000,5.089769,9296000
2006-06-14,8.050000,8.410000,7.900000,8.378000,5.297154,8155000
2006-06-15,8.376000,8.752000,8.368000,8.716000,5.510860,7067500
2006-06-16,8.666000,8.668000,8.450000,8.458000,5.347735,6947500
2006-06-19,8.590000,8.590000,8.210000,8.252000,5.217487,5274500
2006-06-20,8.202000,8.276000,8.122000,8.246000,5.213694,5644000
2006-06-21,8.240000,8.474000,8.116000,8.466000,5.352793,4928500
2006-06-22,8.398000,8.520000,8.216000,8.340000,5.273128,2007500
2006-06-23,8.300000,8.436000,8.240000,8.420000,5.323710,1550500
2006-06-26,8.370000,8.484000,8.344000,8.458000,5.347735,2084500
2006-06-27,8.490000,8.728000,8.458000,8.652000,5.470395,7412500
2006-06-28,8.690000,8.828000,8.622000,8.732000,5.520978,6260000
2006-06-29,8.800000,9.134000,8.772000,9.098000,5.752388,6397000
2006-06-30,9.100000,9.222000,9.054000,9.164000,5.794118,3419000
2006-07-03,9.290000,9.322000,9.022000,9.298000,5.878843,1861500
2006-07-05,9.298000,9.298000,8.990000,9.150000,5.785266,4140500
2006-07-06,9.120000,9.346000,9.110000,9.268000,5.859874,2117000
2006-07-07,9.268000,9.268000,9.080000,9.130000,5.772620,2940500
2006-07-10,9.080000,9.192000,9.050000,9.154000,5.787795,2563000
