Date,Open,High,Low,Close,Adj Close,Volume
2006-02-06,45.810001,45.810001,45.020000,45.020000,39.835144,71000
2006-02-07,44.470001,44.750000,43.869999,43.869999,38.817577,203500
2006-02-08,43.799999,44.619999,43.450001,44.610001,39.472355,553500
2006-02-09,44.509998,44.880001,44.279999,44.279999,39.180374,70700
2006-02-10,43.950001,44.099998,43.439999,43.799999,38.755638,264100
2006-02-13,43.660000,43.730000,43.320000,43.500000,38.490196,364700
2006-02-14,43.299999,44.349998,42.889999,44.250000,39.153824,639200
2006-02-15,44.500000,45.020000,44.169998,44.680000,39.534283,571100
2006-02-16,45.110001,45.220001,44.599998,45.200001,39.994415,253200
2006-02-17,45.400002,45.400002,44.790001,44.810001,39.649338,57000
2006-02-21,45.130001,45.250000,44.590000,45.080002,39.888241,243800
2006-02-22,45.400002,46.080002,45.040001,45.910000,40.622643,333600
2006-02-23,45.180000,45.980000,45.180000,45.610001,40.357189,307200
2006-02-24,45.450001,45.450001,45.130001,45.349998,40.127132,144500
2006-02-27,45.230000,45.599998,44.900002,45.279999,40.065186,300400
2006-02-28,45.209999,45.290001,44.660000,44.700001,39.551987,237200
2006-03-01,44.520000,44.799999,44.450001,44.799999,39.640469,166400
2006-03-02,44.540001,45.099998,44.509998,44.799999,39.640469,339300
2006-03-03,44.459999,44.459999,44.070000,44.090000,39.012249,452400
2006-03-06,43.950001,43.950001,43.529999,43.610001,38.587521,391200
2006-03-07,43.160000,43.160000,42.540001,42.820000,37.888515,468800
2006-03-08,42.279999,42.790001,42.150002,42.750000,37.826561,463500
2006-03-09,42.820000,42.830002,41.889999,41.980000,37.145248,562000
2006-03-10,42.040001,42.790001,42.040001,42.540001,37.640755,509800
2006-03-13,42.930000,43.240002,42.730000,42.830002,37.897343,451800
2006-03-14,42.950001,44.630001,42.919998,44.560001,39.428116,261700
2006-03-15,44.439999,44.709999,44.099998,44.259998,39.162670,314700
2006-03-16,44.650002,45.639999,44.650002,45.320000,40.100590,718000
2006-03-17,45.560001,46.389999,45.560001,46.139999,40.858612,437800
