Date,Open,High,Low,Close,Adj Close,Volume
2011-12-16,11.000000,11.500000,9.000000,9.500000,9.500000,116817000
2011-12-19,9.500000,9.600000,8.750000,9.050000,9.050000,18394000
2011-12-20,9.150000,9.380000,9.080000,9.240000,9.240000,8358800
2011-12-21,9.240000,9.570000,9.150000,9.470000,9.470000,5069400
2011-12-22,9.650000,9.650000,9.250000,9.470000,9.470000,2986200
2011-12-23,9.430000,9.470000,9.270000,9.390000,9.390000,2655300
2011-12-27,9.340000,9.820000,9.320000,9.750000,9.750000,3238500
2011-12-28,9.820000,9.820000,9.390000,9.500000,9.500000,2270000
2011-12-29,9.430000,9.570000,9.320000,9.370000,9.370000,2512100
2011-12-30,9.290000,9.430000,9.190000,9.410000,9.410000,5522300
2012-01-03,9.520000,9.640000,9.400000,9.450000,9.450000,3995400
2012-01-04,9.490000,9.490000,9.120000,9.190000,9.190000,4299400
2012-01-05,9.100000,9.150000,8.820000,8.910000,8.910000,9716100
2012-01-06,8.930000,8.990000,8.450000,8.810000,8.810000,8445200
2012-01-09,8.530000,8.610000,7.970000,8.000000,8.000000,9779100
2012-01-10,8.110000,8.590000,8.060000,8.530000,8.530000,4884800
2012-01-11,8.550000,8.570000,8.210000,8.330000,8.330000,3101900
2012-01-12,8.330000,8.460000,8.240000,8.450000,8.450000,2936800
2012-01-13,8.430000,8.990000,8.350000,8.870000,8.870000,5033500
2012-01-17,9.100000,9.400000,8.930000,9.220000,9.220000,4855100
2012-01-18,9.200000,9.200000,8.520000,8.650000,8.650000,6548100
2012-01-19,8.750000,8.750000,8.500000,8.530000,8.530000,3957200
2012-01-20,8.700000,9.190000,8.550000,9.090000,9.090000,6336600
2012-01-23,9.150000,9.190000,8.750000,9.120000,9.120000,4710700
2012-01-24,9.030000,9.900000,9.010000,9.710000,9.710000,11583500
2012-01-25,9.960000,10.000000,9.480000,9.530000,9.530000,7969200
2012-01-26,9.730000,9.730000,9.200000,9.520000,9.520000,5480800
2012-01-27,9.450000,10.250000,9.400000,10.050000,10.050000,14881400
2012-01-30,10.020000,10.510000,10.020000,10.390000,10.390000,12114300
2012-01-31,10.540000,10.640000,10.100000,10.490000,10.490000,6949500
2012-02-01,10.630000,10.650000,10.390000,10.600000,10.600000,6345400
2012-02-02,11.050000,12.910000,10.840000,12.390000,12.390000,59164300
2012-02-03,12.970000,14.440000,12.750000,13.390000,13.390000,55723600
2012-02-06,13.560000,14.000000,12.490000,12.770000,12.770000,29648100
2012-02-07,12.920000,13.400000,12.500000,13.310000,13.310000,16662800
2012-02-08,13.060000,13.770000,12.900000,13.690000,13.690000,15440100
2012-02-09,13.830000,13.900000,12.950000,13.250000,13.250000,14964900
2012-02-10,13.060000,13.480000,13.000000,13.330000,13.330000,7676600
2012-02-13,13.700000,13.750000,13.110000,13.420000,13.420000,11662400
2012-02-14,13.750000,14.550000,13.460000,14.350000,14.350000,33607000
2012-02-15,12.950000,13.240000,11.720000,11.800000,11.800000,40990300
2012-02-16,11.900000,12.420000,11.710000,12.060000,12.060000,9919100
2012-02-17,12.390000,12.990000,12.290000,12.930000,12.930000,9989100
2012-02-21,13.050000,13.390000,12.750000,13.030000,13.030000,10004100
2012-02-22,13.000000,13.070000,12.550000,12.660000,12.660000,4755200
2012-02-23,12.800000,13.000000,12.680000,12.810000,12.810000,3907200
2012-02-24,12.940000,13.060000,12.770000,12.930000,12.930000,3692600
2012-02-27,12.890000,13.260000,12.700000,13.240000,13.240000,4837900
2012-02-28,13.290000,13.490000,13.100000,13.300000,13.300000,4333700
2012-02-29,13.150000,13.610000,13.150000,13.170000,13.170000,7600000
2012-03-01,13.410000,14.620000,13.300000,14.480000,14.480000,12522500
2012-03-02,14.990000,15.910000,14.600000,14.690000,14.690000,31588600
2012-03-05,14.340000,14.380000,13.650000,13.970000,13.970000,12499500
2012-03-06,13.490000,14.080000,13.190000,14.060000,14.060000,8397700
2012-03-07,14.400000,14.470000,13.650000,13.770000,13.770000,6224900
2012-03-08,14.000000,14.000000,13.500000,13.670000,13.670000,3809800
2012-03-09,13.800000,14.040000,13.600000,13.890000,13.890000,4509300
2012-03-12,14.040000,14.320000,13.730000,13.760000,13.760000,5816900
2012-03-13,13.950000,13.980000,13.120000,13.380000,13.380000,8423700
2012-03-14,13.410000,13.700000,13.150000,13.350000,13.350000,7346700
2012-03-15,13.310000,13.340000,12.800000,13.060000,13.060000,6533700
2012-03-16,12.930000,13.060000,12.750000,13.030000,13.030000,5202600
2012-03-19,12.910000,13.390000,12.800000,13.240000,13.240000,5436700
2012-03-20,13.080000,13.390000,12.860000,13.390000,13.390000,4466100
2012-03-21,13.470000,14.480000,13.440000,13.720000,13.720000,19097000
2012-03-22,14.000000,14.220000,13.600000,13.760000,13.760000,8704900
2012-03-23,13.420000,13.520000,12.900000,13.400000,13.400000,10388700
2012-03-26,13.370000,13.550000,12.980000,13.080000,13.080000,8740800
2012-03-27,13.020000,13.270000,12.820000,13.010000,13.010000,8309700
2012-03-28,12.860000,13.050000,12.200000,12.240000,12.240000,13337300
2012-03-29,12.300000,12.900000,12.250000,12.840000,12.840000,34847200
2012-03-30,13.040000,13.150000,12.510000,13.150000,13.150000,19220600
2012-04-02,12.990000,13.150000,12.700000,12.880000,12.880000,7856200
2012-04-03,12.860000,12.900000,12.190000,12.290000,12.290000,9749100
2012-04-04,12.510000,12.700000,12.050000,12.220000,12.220000,12409700
2012-04-05,12.200000,12.200000,11.760000,11.910000,11.910000,8408200
2012-04-09,11.600000,12.250000,11.250000,12.000000,12.000000,6356600
2012-04-10,12.140000,12.340000,11.350000,11.510000,11.510000,8901800
