Label,RiskLevel,AvgProfit,AvgHoldDays,ProfitPerDay,WinRate,AvgProfitLong,AvgHoldLong,ProfitPerDayLong,WinRateLong,AvgProfitShort,AvgHoldShort,ProfitPerDayShort,WinRateShort
stocks,1,-0.03483389396178833,1.0,-0.03483389396178833,48.54023863924854,-0.0037637293090044856,1.0,-0.0037637293090044856,48.71683340582862,-0.07838896014273349,1.0,-0.07838896014273349,48.292682926829265
etfs,1,-0.05745294192746206,1.0,-0.05745294192746206,46.655424395727934,-0.03881528171462036,1.0,-0.03881528171462036,45.97285067873303,-0.08800874984317435,1.0,-0.08800874984317435,47.774480712166174
combined,1,-0.04187119482414117,1.0,-0.04187119482414117,47.95383001049318,-0.015142097525281084,1.0,-0.015142097525281084,47.82608695652174,-0.08119092136058013,1.0,-0.08119092136058013,48.14174589455488
stocks,2,0.15526182362306168,2.0,0.07763091181153084,49.86037065244986,-0.07657722511343745,2.0,-0.038288612556718726,48.934319269247496,0.4802605876750199,2.0,0.24013029383750994,51.15853658536585
etfs,2,-0.1302713790810036,2.0,-0.0651356895405018,45.81225407532322,-0.22539994622332074,2.0,-0.11269997311166037,45.158371040723985,0.025688660521756647,2.0,0.012844330260878323,46.88427299703264
combined,2,0.06642594261387452,2.0,0.03321297130693726,48.60090940888423,-0.12488777353483023,2.0,-0.062443886767415115,47.708578143360754,0.3478571827911394,2.0,0.1739285913955697,49.91356957649092
stocks,3,0.23203240099355227,3.0,0.07734413366451742,51.12972835745113,-0.10642186084477837,3.0,-0.03547395361492612,48.890822096563724,0.7064874912169194,3.0,0.2354958304056398,54.26829268292683
etfs,3,-0.12302596941736892,3.0,-0.04100865647245631,45.41877459246768,-0.23205743902763226,3.0,-0.07735247967587741,43.710407239819006,0.055727404350199315,3.0,0.01857580145006644,48.21958456973294
combined,3,0.12156565720883229,3.0,0.040521885736277435,49.35292060160896,-0.14720544306923591,3.0,-0.04906848102307864,47.209165687426555,0.5169402576178834,3.0,0.17231341920596113,52.50648228176318
stocks,5,0.2745808706876325,5.0,0.05491617413752649,51.15511551155115,-0.10908371183199694,5.0,-0.021816742366399387,48.23836450630709,0.8124131116709422,5.0,0.16248262233418845,55.24390243902439
etfs,5,-0.09963144253606439,5.0,-0.019926288507212876,48.34176503653738,-0.25350052514176696,5.0,-0.0507001050283534,44.52488687782805,0.1526316676706142,5.0,0.03052633353412284,54.59940652818991
combined,5,0.1581548991547614,5.0,0.03163097983095228,50.279818118223154,-0.1559640228505915,5.0,-0.0311928045701183,47.032902467685076,0.62023822262331,5.0,0.12404764452466199,55.056179775280896
stocks,10,0.24461225529848454,10.0,0.024461225529848456,50.64737242955065,-0.2762243054222223,10.0,-0.027622430542222232,47.977381470204435,0.9747361901136706,10.0,0.09747361901136706,54.390243902439025
etfs,10,-0.23381429993164815,10.0,-0.023381429993164813,46.03709949409781,-0.4090675267462547,10.0,-0.04090675267462547,43.07692307692308,0.05350738497953917,10.0,0.0053507384979539175,50.89020771513353
combined,10,0.09576286009834357,10.0,0.009576286009834359,49.21301154249738,-0.31934761904239145,10.0,-0.03193476190423915,46.386603995299645,0.7064093903468579,10.0,0.07064093903468578,53.37078651685393
