Label,RiskLevel,AvgProfit,AvgHoldDays,ProfitPerDay,WinRate,AvgProfitLong,AvgHoldLong,ProfitPerDayLong,WinRateLong,AvgProfitShort,AvgHoldShort,ProfitPerDayShort,WinRateShort
stocks,1,0.03483389396178833,1.0,0.03483389396178833,50.29195227215029,0.07838896014273349,1.0,0.07838896014273349,50.609756097560975,0.0037637293090044856,1.0,0.0037637293090044856,50.065245759025665
etfs,1,0.05745294192746206,1.0,0.05745294192746206,52.27655986509275,0.08800874984317435,1.0,0.08800874984317435,51.18694362017804,0.03881528171462036,1.0,0.03881528171462036,52.94117647058823
combined,1,0.04187119482414117,1.0,0.04187119482414117,50.90940888422525,0.08119092136058013,1.0,0.08119092136058013,50.77787381158168,0.015142097525281084,1.0,0.015142097525281084,50.99882491186839
stocks,2,-0.15526182362306168,2.0,-0.07763091181153084,49.37801472454938,-0.4802605876750199,2.0,-0.24013029383750994,48.109756097560975,0.07657722511343745,2.0,0.038288612556718726,50.282731622444544
etfs,2,0.1302713790810036,2.0,0.0651356895405018,53.40078695896571,-0.025688660521756647,2.0,-0.012844330260878323,52.225519287833826,0.22539994622332074,2.0,0.11269997311166037,54.11764705882353
combined,2,-0.06642594261387452,2.0,-0.03321297130693726,50.629590766002096,-0.3478571827911394,2.0,-0.1739285913955697,49.3085566119274,0.12488777353483023,2.0,0.062443886767415115,51.52761457109283
stocks,3,-0.23203240099355227,3.0,-0.07734413366451742,48.26097994414826,-0.7064874912169194,3.0,-0.2354958304056398,45.0609756097561,0.10642186084477837,3.0,0.03547395361492612,50.543714658547195
etfs,3,0.12302596941736892,3.0,0.04100865647245631,53.850477796514895,-0.055727404350199315,3.0,-0.01857580145006644,51.3353115727003,0.23205743902763226,3.0,0.07735247967587741,55.38461538461539
combined,3,-0.12156565720883229,3.0,-0.040521885736277435,50.0,-0.5169402576178834,3.0,-0.17231341920596113,46.888504753673296,0.14720544306923591,3.0,0.04906848102307864,52.11515863689777
stocks,5,-0.2745808706876325,5.0,-0.05491617413752649,48.18481848184818,-0.8124131116709422,5.0,-0.16248262233418845,44.02439024390244,0.10908371183199694,5.0,0.021816742366399387,51.152675076120055
etfs,5,0.09963144253606439,5.0,0.019926288507212876,51.433389544688026,-0.1526316676706142,5.0,-0.03052633353412284,45.40059347181009,0.25350052514176696,5.0,0.0507001050283534,55.113122171945705
combined,5,-0.1581548991547614,5.0,-0.03163097983095228,49.19552291010843,-0.62023822262331,5.0,-0.12404764452466199,44.42523768366465,0.1559640228505915,5.0,0.0311928045701183,52.43830787309048
stocks,10,-0.24461225529848454,10.0,-0.024461225529848456,49.02259456714902,-0.9747361901136706,10.0,-0.09747361901136706,45.18292682926829,0.2762243054222223,10.0,0.027622430542222232,51.76163549369291
etfs,10,0.23381429993164815,10.0,0.023381429993164813,53.56942102304666,-0.05350738497953917,10.0,-0.0053507384979539175,48.961424332344215,0.4090675267462547,10.0,0.04090675267462547,56.380090497737555
combined,10,-0.09576286009834357,10.0,-0.009576286009834359,50.43721580972368,-0.7064093903468579,10.0,-0.07064093903468578,46.28349178910977,0.31934761904239145,10.0,0.03193476190423915,53.26086956521739
