symbol,entryDate,entryPrice,stopLoss,target,direction,exitDate,exitPrice,holdingPeriod,percentPL
BAC,2007-06-27,49.19,0.0,0.0,SHORT,2007-07-12,49.53,10,-0.69
BAC,2007-08-01,47.63,0.0,0.0,SHORT,2007-08-15,48.23,10,-1.26
BAC,2007-10-22,47.78,0.0,0.0,SHORT,2007-11-05,44.45,10,6.97
BAC,2008-09-16,29.55,0.0,0.0,SHORT,2008-09-30,35.0,10,-18.44
BAC,2008-10-10,20.87,0.0,0.0,SHORT,2008-10-24,21.07,10,-0.96
BAC,2009-02-05,4.84,0.0,0.0,SHORT,2009-02-20,3.79,10,21.69
BAC,2009-03-19,6.93,0.0,69.299995,LONG,2009-04-02,7.24,10,4.47
BAC,2009-04-14,10.09,0.0,100.9,LONG,2009-04-28,8.15,10,-19.23
BAC,2009-10-02,16.34,0.0,0.0,SHORT,2009-10-16,17.26,10,-5.63
BAC,2010-05-21,15.99,0.0,0.0,SHORT,2010-06-07,14.83,10,7.25
BAC,2010-05-25,15.49,0.0,0.0,SHORT,2010-06-09,15.01,10,3.10
BAC,2011-01-13,14.77,0.0,147.70001,LONG,2011-01-28,13.6,10,-7.92
BAC,2011-10-04,5.76,0.0,0.0,SHORT,2011-10-18,6.64,10,-15.28
BAC,2012-01-12,6.79,0.0,67.9,LONG,2012-01-27,7.29,10,7.36
BAC,2012-01-26,7.3,0.0,73.0,LONG,2012-02-09,8.18,10,12.05
BAC,2012-07-23,7.09,0.0,0.0,SHORT,2012-08-06,7.64,10,-7.76
BAC,2012-09-10,8.58,0.0,85.8,LONG,2012-09-24,9.1,10,6.06
BAC,2012-09-12,8.97,0.0,89.700005,LONG,2012-09-26,8.82,10,-1.67
BAC,2012-12-19,11.19,0.0,111.899994,LONG,2013-01-04,12.11,10,8.22
BAC,2013-01-07,12.09,0.0,120.9,LONG,2013-01-22,11.35,10,-6.12
BAC,2013-03-08,12.07,0.0,120.7,LONG,2013-03-22,12.56,10,4.06
BAC,2013-08-16,14.42,0.0,0.0,SHORT,2013-08-30,14.12,10,2.08
BAC,2013-10-18,14.63,0.0,146.3,LONG,2013-11-01,14.02,10,-4.17
BAC,2015-03-26,15.42,0.0,0.0,SHORT,2015-04-10,15.72,10,-1.95
BAC,2016-05-16,13.93,0.0,0.0,SHORT,2016-05-31,14.79,10,-6.17
BAC,2017-09-14,24.24,0.0,242.4,LONG,2017-09-28,25.45,10,4.99
BAC,2017-10-23,27.16,0.0,271.6,LONG,2017-11-06,27.75,10,2.17
GE,2006-06-14,33.9,0.0,0.0,SHORT,2006-06-28,32.93,10,2.86
GE,2008-07-24,28.71,0.0,287.09998,LONG,2008-08-07,28.57,10,-0.49
GE,2008-10-10,21.5,0.0,0.0,SHORT,2008-10-24,17.83,10,17.07
GE,2011-01-18,18.6,0.0,186.0,LONG,2011-02-01,20.8,10,11.83
